from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__3300026253_28	S__GCA_015659035.1	3	0.784165342652074	0.784165342652074	0.784165342652074	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_013215285.1	S__GCA_014384505.1	3	0.559636846053044	0.559636846053044	0.559636846053044	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_905182815.1	S__GCA_014384505.1	3	0.764300365611517	0.764300365611517	0.764300365611517	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCF_012276695.1	S__GCA_014384505.1	3	0.689607398423664	0.689607398423664	0.689607398423664	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_012960805.1	S__GCA_014384505.1	3	0.679208223399299	0.679208223399299	0.679208223399299	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027780_000015	S__GCA_014384505.1	3	0.70202713400877	0.70202713400877	0.70202713400877	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300020263_16	S__GCA_014384505.1	3	0.576255481869001	0.576255481869001	0.576255481869001	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__IMGVR_UViG_3300027687_000007	S__GCA_014384505.1	3	0.709445440218855	0.709445440218855	0.709445440218855	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_014384505.1	3	0.696171216853428	0.696171216853428	0.696171216853428	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_017854145.1	S__GCA_014384505.1	3	0.696905245568649	0.696905245568649	0.696905245568649	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016838825.1	S__GCA_016777225.1	3	0.62806596313052	0.62806596313052	0.62806596313052	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016276965.1	S__GCA_016777225.1	3	0.556696914090999	0.556696914090999	0.556696914090999	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024516_13	S__GCA_016777225.1	3	0.868068825697721	0.868068825697721	0.868068825697721	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300027997_10	S__GCA_016777225.1	3	0.865530296060957	0.865530296060957	0.865530296060957	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300006311_3	S__GCA_016777225.1	3	0.550330743929246	0.550330743929246	0.550330743929246	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300024058_22	S__GCA_016777225.1	3	0.861583102200348	0.861583102200348	0.861583102200348	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__3300020263_16	S__GCA_016777225.1	3	0.713233585192161	0.713233585192161	0.713233585192161	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__Schulz_GVMAG_M_3300025652_16	S__GCA_016777225.1	3	0.573382081978289	0.573382081978289	0.573382081978289	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
S__GCA_016838825.1	S__GCA_905478185.1	3	0.624879336272795	0.624879336272795	0.624879336272795	pearson_abs_threshold	pearson	0.55	GeoB25202_R1
