node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__IMGVR_UViG_3300046167_000935	taxon	2.2124639	2.4817517	-2.4509072	-2.4588065	2.533944	3.030929	-2.4704654	1.5184975	2.9403267	2.2199547	-3.0624762	1.9269075	-2.1966894	1.6599357	-3.1491764	1.7310008	2.231682	1.7842777	0.020872623	2.1864781	1.5768398	-2.6737018	-2.15326	2.469914	2.3232079	-1.9159133	3.5087976	-1.7612306	1.882558	2.3400936	2.571085	2.7548413
S__IMGVR_UViG_3300046168_000019	taxon	2.076231	2.239721	-2.5234094	-2.398005	2.4653585	2.9122345	-2.367309	1.417838	2.9337654	2.2192028	-3.2022202	1.9171343	-2.084196	1.5749052	-3.05404	1.5870016	2.3216047	1.6267679	0.1622261	2.1670587	1.6205637	-2.6799529	-2.2336984	2.3566923	2.3951356	-1.6938212	3.3310997	-1.4894702	1.7327833	2.2076678	2.610505	2.5392895
S__IMGVR_UViG_3300046168_000044	taxon	2.153268	2.231094	-2.6042724	-2.4221277	2.590507	2.9380472	-2.3896182	1.4246132	3.0118074	2.2766924	-3.2151017	2.0373755	-2.0629706	1.5772433	-2.9737148	1.5879333	2.341754	1.6848845	0.14265594	2.2185788	1.5567589	-2.7974226	-2.242515	2.3500965	2.434463	-1.6912655	3.3078885	-1.5086606	1.7522751	2.194704	2.7364597	2.4893122
S__IMGVR_UViG_3300046171_000113	taxon	2.192981	2.4774752	-2.4320974	-2.4530241	2.4984846	3.009873	-2.4464874	1.5249714	2.9142077	2.2033563	-3.0435147	1.8937721	-2.1879425	1.6523473	-3.1483262	1.7316289	2.2316093	1.7715456	0.017524675	2.186646	1.5978416	-2.6401412	-2.1436799	2.4648879	2.3007345	-1.9097395	3.4946034	-1.745342	1.8739579	2.3130646	2.5459814	2.7531595
S__IMGVR_UViG_3300046171_000179	taxon	2.116832	2.2784994	-2.5442595	-2.4599066	2.4755254	2.947956	-2.433668	1.412533	2.9467688	2.1802096	-3.1868885	1.9367135	-2.1117342	1.6248872	-3.1287863	1.6108556	2.336703	1.6141884	0.24033634	2.154245	1.5776322	-2.6782517	-2.2476468	2.4028435	2.4348145	-1.7384644	3.3254347	-1.5544436	1.7827318	2.2722223	2.650823	2.645592
S__IMGVR_UViG_3300046532_001046	taxon	2.0592148	2.223689	-2.540923	-2.410863	2.462997	2.8991456	-2.355915	1.4042436	2.9396892	2.245498	-3.203761	1.924407	-2.1051733	1.572699	-3.0505383	1.5975387	2.3164268	1.647613	0.15826145	2.1640232	1.616586	-2.673521	-2.2620893	2.3468668	2.4194365	-1.6911342	3.3181725	-1.4834303	1.7311306	2.199116	2.5934157	2.551272
S__IMGVR_UViG_3300047157_000078	taxon	2.3449407	2.5491066	-2.420785	-2.6527784	2.6257477	3.202766	-2.4469929	1.9193082	2.780723	2.0607874	-3.0918927	2.1482358	-2.1367211	1.5763991	-3.0620065	1.0665582	2.3499575	1.5411158	1.0358953	2.4693189	1.3271964	-3.1693377	-1.8041135	2.353866	2.1892037	-1.5999802	2.9542203	-1.7942789	1.939962	2.288507	2.6524734	2.0756564
S__IMGVR_UViG_3300047157_000086	taxon	2.1053085	2.2690442	-2.5409513	-2.4475255	2.476697	2.9426765	-2.4232068	1.4051857	2.9541202	2.1793265	-3.1843593	1.9408156	-2.1085405	1.614527	-3.116735	1.6196218	2.329919	1.6218301	0.22625607	2.14846	1.5722786	-2.6646953	-2.2627552	2.3997555	2.4403338	-1.7364278	3.3442633	-1.5448245	1.7863057	2.270449	2.6504536	2.6636083
S__IMGVR_UViG_3300047157_000094	taxon	2.2273812	2.4847245	-2.4337986	-2.4116526	2.5695188	3.0353622	-2.4705162	1.6066058	2.9521391	2.280063	-3.058864	1.9378476	-2.194372	1.6050491	-3.0884128	1.7004411	2.237897	1.816849	-0.0828787	2.300348	1.5918951	-2.7551417	-2.1322045	2.392538	2.2110183	-1.8484042	3.4497275	-1.6967013	1.828993	2.2250319	2.562986	2.6089077
S__IMGVR_UViG_3300047369_000202	taxon	2.052648	2.2250113	-2.5279357	-2.4139624	2.4296887	2.9132404	-2.360299	1.3853816	2.9448175	2.1762722	-3.1637726	1.9054496	-2.1070805	1.5773753	-3.1045415	1.6313615	2.3231146	1.6237295	0.22697185	2.1320343	1.5777038	-2.5989702	-2.3080378	2.3849761	2.443069	-1.7365236	3.3632782	-1.5163529	1.7503296	2.2231808	2.606235	2.7076247
S__IMGVR_UViG_3300047668_001392	taxon	2.0963497	2.2629728	-2.5335646	-2.444697	2.4644518	2.9281993	-2.4099417	1.4068129	2.9459085	2.1753764	-3.181583	1.9251192	-2.10673	1.6113752	-3.1124344	1.6164615	2.332965	1.6154013	0.22800735	2.1523182	1.5811739	-2.646741	-2.26211	2.3992274	2.4266438	-1.7327611	3.337317	-1.5381562	1.7812604	2.255742	2.6443405	2.662272
S__IMGVR_UViG_3300048018_000259	taxon	2.076983	2.237801	-2.5286312	-2.4063287	2.4631517	2.9106967	-2.3678746	1.4147274	2.9320533	2.2260864	-3.2026532	1.9145685	-2.0889795	1.5775065	-3.0570297	1.5879629	2.3224401	1.6286043	0.16419055	2.1646883	1.6223955	-2.6832342	-2.2365985	2.3557034	2.400981	-1.6928396	3.3208988	-1.4882523	1.7263219	2.2044673	2.6054246	2.5353785
