threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_3	bicor	S__IMGVR_UViG_3300020185_000065	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300020374_000001	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300020385_000015	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300020396_000001	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300020399_000132	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300020595_000038	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300021087_000038	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300021957_000032	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300021959_000034	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300023210_000013	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300023210_000030	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300023238_000017	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300023239_000003	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300023239_000010	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300023293_000013	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300024302_000371	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300024520_000070	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300025071_000006	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300025079_000001	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300025079_000004	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025096_000017	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025120_000059	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300025120_000373	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025141_000590	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300025168_000108	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300025264_000009	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025276_000013	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025296_001443	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300025632_000006	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300025637_000035	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300025652_000055	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300025653_000044	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300025666_000032	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025696_000003	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025707_000009	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025719_000003	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300025769_000005	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025816_000013	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025821_000011	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300025832_000009	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025853_000376	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300025860_000061	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300025869_000017	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300025874_000005	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300027668_000075	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300027668_002455	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300027687_000007	M10	0.7358688	4
prev_3	bicor	S__IMGVR_UViG_3300027752_000041	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300027780_000015	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300027788_000027	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300027791_000032	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300027813_000042	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300027833_000016	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300027833_000038	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300027833_000046	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300027849_000014	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300027861_000023	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300028198_000002	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300028198_000003	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300028535_000001	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300029787_000045	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300030059_000588	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300030388_000283	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300030390_000540	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300030390_001073	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300030390_001366	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300030390_002408	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300031519_000018	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300031519_000025	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300031519_000028	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300031647_000036	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300031687_001020	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300031688_001339	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300031703_000007	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300031801_001562	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300031957_000171	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300032081_000046	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300034380_000005	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300034980_000082	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300035195_000275	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300037191_001144	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300037585_000783	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300037635_001655	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300038315_000065	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300040811_000687	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300040985_001906	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300046103_001257	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300046163_000031	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300046167_000375	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300046167_000870	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300046167_000876	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300046167_000935	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300046168_000019	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300046168_000044	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300046171_000113	M10	2.208329	1
prev_3	bicor	S__IMGVR_UViG_3300046171_000179	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300046532_001046	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300047157_000078	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_3300047157_000086	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300047157_000094	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300047369_000202	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300047668_001392	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_3300048018_000259	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_3300049783_000307	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_650627017_000001	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_GVMAG-M-3300001718-3_000001	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_GVMAG-M-3300021389-45_000001	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_GVMAG-M-3300027833-29_000001	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_GVMAG-S-1102104-120_000001	M10	0.7361097	3
prev_3	bicor	S__IMGVR_UViG_GVMAG-S-1102107-84_000001	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_GVMAG-S-1102114-126_000001	M10	0.0	4
prev_3	bicor	S__IMGVR_UViG_GVMAG-S-ERX556030-34_000001	M10	1.4722193	2
prev_3	bicor	S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	M10	0.0	4
prev_3	bicor	S__Moniruzzaman_LP01_SRX672316_10_dc	M10	1.4722193	2
prev_3	bicor	S__Phycodnaviridae_FN429076_Emiliania_huxleyi_virus_99B1	M10	1.4722193	2
prev_3	bicor	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	M10	0.0	4
prev_3	bicor	S__Phycodnaviridae_KF481686_Emiliania_huxleyi_virus_145	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_M_3300001718_3	M10	0.7361097	3
prev_3	bicor	S__Schulz_GVMAG_M_3300009428_8	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_M_3300021389_45	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_M_3300025652_16	M10	0.0	4
prev_3	bicor	S__Schulz_GVMAG_S_1024967_63	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_S_1102104_120	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_S_1102105_81	M10	1.4722193	2
prev_3	bicor	S__Schulz_GVMAG_S_1102114_126	M10	0.7361097	3
