taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__GCA_003545625.1	prev_3	bicor	M3	2.4646878	2.3344438	-1.1773528	0.9518976	0.0	4	0.5592696666717529	4.137093160868216	0.42068617058009844	3.120315	5.01406	132768.38071348943	4	0.6454211348482317	glacial_like
S__GCA_003672175.1	prev_3	bicor	M1	1.9873967	2.2570221	-1.8000364	-0.3544731	0.0	4	0.5592696666717529	4.193987509868831	0.4374659250498589	3.120315	5.01406	297958.204916388	4	0.6787799316461494	glacial_like
S__GCA_004195625.1	prev_3	bicor	M1	1.8861017	2.2639477	-1.8858931	-0.5446844	0.0	4	0.5592696666717529	4.175484829071654	0.4333398362786945	3.120315	5.01406	321637.9864855069	4	0.6676748983354698	glacial_like
S__GCA_004356105.1	prev_3	bicor	M1	1.9815938	2.2188623	-1.8448234	-0.37505245	0.0	4	0.5592696666717529	4.136697509027567	0.4252747918180889	3.120315	5.01406	101755.48006688964	4	0.6424708328611021	glacial_like
S__GCA_004356405.1	prev_3	bicor	M3	2.5888562	2.4150863	-0.54038703	1.4741402	0.0	4	0.5592696666717529	4.154255152295169	0.42649835178854656	3.120315	5.01406	28981.487934782614	3	0.6555569961303146	glacial_like
S__GCA_004356455.1	prev_3	bicor	M1	2.0411155	2.2141716	-1.8052374	-0.24801731	0.0	4	0.5592696666717529	4.14864195080982	0.4265521402843645	3.120315	5.01406	209389.63924470457	4	0.6511592050257726	glacial_like
S__GCA_004356775.1	prev_3	bicor	M2	2.4864817	2.268217	1.0640991	0.86214733	0.0	4	0.5592696666717529	4.129706897660982	0.4181767778515246	3.120315	4.96297	23074.889423076922	2	0.6409177308750335	glacial_like
S__GCA_004356805.1	prev_3	bicor	M3	2.5674973	2.405006	0.66587186	1.0801363	0.0	4	0.5592696666717529	4.18535380742697	0.43312503048740386	3.203925	5.01406	89754.51557971022	2	0.6750774878255591	glacial_like
S__GCA_004356825.1	prev_3	bicor	M1	1.8259248	2.2193794	-1.9623935	-0.76152325	0.0	4	0.5592696666717529	4.149530900985059	0.4280620724391867	3.120315	5.01406	177628.59280657742	4	0.6509767747914204	glacial_like
S__GCA_004356895.1	prev_3	bicor	M1	2.0803053	2.20901	-1.7730277	-0.15786552	0.0	4	0.5592696666717529	4.172963136880067	0.4341163409573886	3.120315	5.01406	63588.54700668898	4	0.6653294153462135	glacial_like
S__GCA_004356925.1	prev_3	bicor	M2	2.4155245	2.3874195	1.0164497	0.59626484	0.0	4	0.5592696666717529	4.236838176264695	0.4430753361552094	3.203925	5.01406	13502.797644927543	2	0.7050076565587728	glacial_like
S__GCA_004376075.1	prev_3	bicor	M1	2.2558825	2.1945088	-1.4035468	0.64085007	0.0	4	0.5592696666717529	4.127356505737763	0.4228561059076584	3.120315	4.957255	613959.3138461539	2	0.6363636363636362	glacial_like
S__GCA_004376185.1	prev_3	bicor	M3	2.5058556	2.4444616	-0.9869213	1.2059727	0.0	4	0.5592696666717529	4.310617979698168	0.4467301204382188	3.203925	5.01406	11770.652173913042	1	0.7478991596638657	glacial_like
S__GCA_008638035.1	prev_3	bicor	M3	2.6291943	2.440026	-0.23742676	1.5388136	0.0	4	0.5592696666717529	4.169069907880592	0.4312806068825883	3.120315	5.01406	24102.91144927537	3	0.664082730422927	glacial_like
S__GCA_008974855.1	prev_3	bicor	M4	1.8979139	1.1811155	-1.6150138	-2.928444	0.0	4	0.5592696666717529	4.170037008648259	0.43218554596762415	3.120315	5.01406	3356630.172561319	4	0.6642745703467762	glacial_like
S__GCA_008974985.1	prev_3	bicor	M3	2.6791253	2.484518	0.17909288	1.5117302	0.0	4	0.5592696666717529	4.147081006348357	0.4249444175347879	3.120315	5.01406	15005.872658862872	3	0.6508564537082546	glacial_like
S__GCA_008975185.1	prev_3	bicor	M3	2.6006806	2.4359598	-0.547431	1.43719	0.0	4	0.5592696666717529	4.138874091309038	0.4225420254710089	3.120315	5.01406	77512.64697324412	4	0.6457752217722087	glacial_like
S__GCA_009392475.1	prev_3	bicor	M1	2.1438642	2.2147799	-1.7008866	0.012600899	0.0	4	0.5592696666717529	4.165048954164892	0.4301486601072372	3.120315	5.01406	78632.56656911926	4	0.6616969562508814	glacial_like
S__GCA_009937205.1	prev_3	bicor	M1	2.0582318	2.261379	-1.7243048	-0.2434063	0.0	4	0.5592696666717529	4.16385731565159	0.4290174727615355	3.120315	5.01406	163241.7067865105	4	0.6614535474635223	glacial_like
S__GCA_011049715.1	prev_3	bicor	M1	1.9580731	2.2448845	-1.8454472	-0.40846825	0.0	4	0.5592696666717529	4.310617979698163	0.4467301204382186	3.203925	5.01406	18639.53913043483	1	0.7478991596638654	glacial_like
