label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_reads	detected_taxa	log_total_reads
LV7008886692	GeoB25202_R1		139.5	53875	51.47	6.235490352	uk37_alkenone	4.3875	102859565	52.6	21513038	56	6.235490352	53.875	226186	325	5.3544676404192
LV7008886704	GeoB25202_R2		139.5	53875	23.87	6.235490352	uk37_alkenone	4.3875	186672027	56.9	18918645	61.2	6.235490352	53.875	266844	383	5.42625906963631
LV3003047161	ST8		379.5	54983.46	31.63	4.38085036928916	mgca_jonkers_2013	4.3111578	1104778	59.1	793502	62	6.47543092855096	54.98346	7628	30	3.88246761489537
LV3003061570	ST13		141	55466	127.35	8.04038666688849	mgca_jonkers_2013	4.32864	79639505	71.1	31089341	73.9	6.57988298438419	55.466	485560	594	5.68624379716732
LV3003047160	ST8		384.5	55891.1266666667	36.23	4.50704955229734	mgca_jonkers_2013	4.34564506666667	1905989	56.6	991574	66.2	6.67190717786631	55.8911266666667	6403	24	3.80645132324726
LV3003047159	ST8		389.5	56798.7933333333	81.65	4.63324873530552	mgca_jonkers_2013	4.41390346666667	39132173	80.8	14300268	84.8	6.86838342718166	56.7987933333333	168854	362	5.22751392514472
LV3003047158	ST8		394.5	57706.46	70.06	4.75944791831369	mgca_jonkers_2013	4.4723876	44291383	79.6	12643578	86.6	7.06485967649701	57.70646	197348	372	5.29523493009519
LV3003061557	ST13		146	58082	188.06	8.02994189743588	mgca_jonkers_2013	4.48508	59537389	82.9	38572967	90.5	7.14615019137165	58.082	444799	531	5.648164778574
LV7008886765	GeoB25202_R1		149.5	58181	42.2	7.16758002833333	uk37_alkenone	4.47914	133978185	51.4	29219035	54.5	7.16758002833333	58.181	405489	549	5.60798014831692
LV3003047139	ST8		399.5	58614.1266666667	44.97	4.88564710132187	mgca_jonkers_2013	4.4531524	15155861	77.9	8529497	83.7	8.62798528680874	58.6141266666667	193122	350	5.28583399919759
LV7008886741	GeoB25202_R1		155.5	58997	11.14	9.918947659625	uk37_alkenone	4.43018	84181826	45.8	4319623	50.5	9.918947659625	58.997	36360	90	4.56063581867836
LV7008886753	GeoB25202_R2		155.5	58997	24.03	9.918947659625	uk37_alkenone	4.43018	129194349	43.9	9629685	47.9	9.918947659625	58.997	183516	313	5.26367630109068
LV3003047150	ST8		404.5	59521.7933333333	73.51	5.01184628433005	mgca_jonkers_2013	4.51870486666667	67120474	74.5	15427841	80.5	8.44254713374637	59.5217933333333	369577	509	5.56770611091665
LV7008886705	GeoB25202_R1		159.5	59738	23.86	7.834293148625	uk37_alkenone	4.55546	95103090	43.4	12531371	45.3	7.834293148625	59.738	82777	207	4.91791492919863
LV7008886717	GeoB25202_R2		159.5	59738	49.74	7.834293148625	uk37_alkenone	4.55546	128512499	41.9	19897194	43.6	7.834293148625	59.738	201068	373	5.30334511800236
LV3003047149	ST8		409.5	60431.7	45.56	5.12335113965152	mgca_jonkers_2013	4.561147	62250597	65.1	9170430	69.9	7.85555370343168	60.4317	174745	360	5.2424072433716
LV3003047148	ST8		414.5	61376.7	47.48	5.00464486121452	mgca_jonkers_2013	4.543903	53529330	65.5	11451620	69.9	7.88451611411687	61.3767	231255	399	5.36409300944604
LV3003061543	ST13		151	62293	184.56	8.01949712798326	mgca_jonkers_2013	4.57949	90294874	80.7	44589548	82.9	7.91259892566273	62.293	850907	801	5.92988260679173
LV3003047147	ST8		419.5	62321.7	48.14	4.88593858277752	mgca_jonkers_2013	4.577481	52440180	63.1	9223523	66.9	7.91347852480206	62.3217	230733	427	5.36311159506033
LV3003047146	ST8		424.5	63266.7	97.4	4.76723230434052	mgca_jonkers_2013	4.484661	58056720	65	17613674	68	7.94244093548725	63.2667	383035	588	5.58323959346369
LV3003047126	ST8		429.5	64210.824	52.91	4.67067279387671	mgca_jonkers_2013	4.38529888	39791476	69.2	8102851	73.6	7.97137649847746	64.210824	159066	356	5.20158009036671
LV3003061529	ST13		156	66015	177.08	8.00905235853065	mgca_jonkers_2013	4.56805	91959511	75.1	42965230	98.8	8.02667098129265	66.015	1022208	869	6.00953970036519
LV3003047138	ST8		439.2	66015.8	67.91	5.15646144484223	mgca_jonkers_2013	4.567946	43852530	62.5	11180916	66.1	8.02669549973556	66.0158	238312	413	5.37714773380374
LV3003047137	ST8		444.2	66946.2	44.94	5.40686796595848	mgca_jonkers_2013	4.446994	57575945	58.1	8645599	61.2	8.05521044883768	66.9462	199065	339	5.29899708989525
LV3003047136	ST8		449.2	67876.6	70.92	5.65727448707473	mgca_jonkers_2013	4.422468	48960938	67.8	12594447	74.4	8.08372539793979	67.8766	273614	468	5.43713990239991
LV7008886229	GeoB25202_R2		167.5	68149	132.24	8.09207392775	uk37_alkenone	4.42745	116981055	44.2	41819821	45.4	8.09207392775	68.149	1307891	903	6.11657188333034
LV7008886778	GeoB25202_R1		167.5	68149	72.83	8.09207392775	uk37_alkenone	4.42745	72287871	47.2	32290184	48	8.09207392775	68.149	1069557	840	6.02920434047086
LV3003047134	ST8		454.2	68807	41.22	5.90768100819097	mgca_jonkers_2013	4.46035	108020076	64.7	16261207	70.5	8.5256420642359	68.807	265089	429	5.42339334513508
LV3003047133	ST8		459.2	70162	57.68	5.78064895406092	mgca_jonkers_2013	4.3038	58661945	62.9	13264329	66	9.41847614468938	70.162	265736	419	5.4244520277904
LV3003061515	ST13		164.8	71001.2	490.61	7.99066956429404	mgca_jonkers_2013	4.219988	98734597	71.1	67640910	73.4	9.97144024824405	71.0012	1712411	984	6.23360826256073
LV3003047107	ST8		464.2	71517	80.3	5.65361689993088	mgca_jonkers_2013	4.21483	51573373	66.1	14724119	69.8	10.3113102251429	71.517	276159	443	5.44116077403512
LV7008886754	GeoB25202_R1		173.5	71889.5	93.18	10.5567572325	uk37_alkenone	4.211105	95700354	45.2	38747528	46.3	10.5567572325	71.8895	1135815	933	6.05530798220513
LV7008886766	GeoB25202_R2		173.5	71889.5	126.44	10.5567572325	uk37_alkenone	4.211105	78971219	43.7	39085954	44.9	10.5567572325	71.8895	1186650	900	6.07432300955226
LV3003047125	ST8		469.2	72872	32.35	5.52658484580083	mgca_jonkers_2013	4.22744	36807425	62	6069589	66	9.79667019017442	72.872	107697	232	5.03220763833021
LV3003061503	ST13		169.8	73147.2	217.76	7.64208514608633	mgca_jonkers_2013	4.20056	97446873	68.6	49665279	71.4	9.58376845577441	73.1472	1167454	769	6.06724014951367
LV3003047124	ST8		474.2	74227	25.72	5.39955279167078	mgca_jonkers_2013	4.01184	56910985	56.2	4264279	59.8	8.74840765343023	74.227	69484	145	4.84189106185163
LV7008886730	GeoB25202_R1		179.5	75351	65.59	7.8788526045	uk37_alkenone	3.98861	89081140	43.4	31762557	44.5	7.8788526045	75.351	1065055	837	6.02737244331616
LV7008886742	GeoB25202_R2		179.5	75351	108.77	7.8788526045	uk37_alkenone	3.98861	92781115	43.1	39562418	43.9	7.8788526045	75.351	1336420	958	6.12594329135435
LV3003047123	ST8		479.2	75589	0.85	5.27252073754074	mgca_jonkers_2013	4.01479	138968645	61.2	2680752	68.5	7.91867251010661	75.589	25995	82	4.41490652829503
LV3003061485	ST13		174.8	75779.6	260.72	7.29350072787861	mgca_jonkers_2013	4.035756	104758234	70.5	60355839	72.6	7.95056189669746	75.7796	1607425	930	6.20613098873069
LV3003047122	ST8		484.2	76951	31.46	5.14548868341069	mgca_jonkers_2013	4.07902	24623727	58.2	2750192	61.2	8.14654944891421	76.951	43633	126	4.63982502729579
