sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_reads	detected_taxa	log_total_reads
LV3003047009	-5.88196308085787	38.4130855903881	-11.9916361966038	-68.0549851098616	31.513493905479	LV3003047009	ST8		114.5	20142	99.94	3.12499528201102	mgca_jonkers_2013	4.97864	78281501	64.3	50491740	64.7	7.48471804810772	20.142	735476	596	5.86656909592246
LV3003046993	7.11141031278736	-7.47803659978985	40.0711363968769	-56.2921175774644	44.6920369952868	LV3003046993	ST8		119.5	20719	108.7	3.36525344975272	mgca_jonkers_2013	4.93248	230108757	68.3	100382437	69.6	7.51387664163044	20.719	1224870	966	6.08809035242446
LV3003061559	44.5303823617699	6.1409664130099	-0.698356024625903	13.5427178716358	-8.01700514040519	LV3003061559	ST13		60	21069	362.3		""	4.90793	96182866	67.5	57351399	75.1	7.53156383007576	21.069	674707	721	5.82911585960729
LV3003046978	54.1173899718911	34.8070591460734	20.7366612155747	-27.5018866162265	-27.5342630614415	LV3003046978	ST8		124.5	21296	113.8	3.60551161749441	mgca_jonkers_2013	4.90112	72686612	55.3	49044465	56.1	7.54303523515316	21.296	1424571	952	6.15368440402301
LV3003046965	60.8207043321544	43.196022360384	38.5447391330053	-15.9243499612274	-26.9095997654279	LV3003046965	ST8		129.5	21832.3333333333	73.24	3.13112604739667	mgca_jonkers_2013	4.88503	123105827	60	61272397	60.7	7.57013874582794	21.8323333333333	2098826	1082	6.32197664246912
LV3003046949	57.6533666930999	31.724837698369	23.8315684606392	-7.71053468701554	-32.3562382373196	LV3003046949	ST8		134.5	22368.6666666667	140.56	2.65674047729892	mgca_jonkers_2013	4.87262666666667	61245129	56.4	37969700	57.8	7.59724225650273	22.3686666666667	1307775	916	6.11653336302888
LV3003046936	60.9754159022683	40.9768480490953	31.4974797550795	-14.1468448520791	-29.2240613295117	LV3003046936	ST8		139.5	22905	189.42	2.18235490720117	mgca_jonkers_2013	4.8619	152063717	62.8	56886217	63.9	7.62434576717752	22.905	1881184	1044	6.27443150715505
LV3003061545	50.799702520984	25.9540967315646	0.249390363175581	20.0929499104993	-10.0036676812314	LV3003061545	ST13		65	23172	284.94		""	4.8514	110691172	77.3	54077025	90.3	7.63783856522009	23.172	853834	790	5.93137395322656
LV3003047145	25.5801631966172	30.0499395685123	-9.50427813564258	-46.295749346143	10.3119791371782	LV3003047145	ST8		144.5	23446	279.12	3.07806968232358	mgca_jonkers_2013	4.8377	33473724	69.7	25529607	71.1	7.65168510703157	23.446	644011	706	5.80889395972818
LV3003047132	64.1542630466099	39.7949640690301	32.8296887279342	-2.03895690083956	-35.8929592220278	LV3003047132	ST8		149.5	23987	252.49	3.97378445744599	mgca_jonkers_2013	4.81065	102185528	63	55519062	64.2	7.67902444688563	23.987	2357051	1077	6.3723691637988
LV3003047118	59.0149514905018	19.5510270949169	25.9348899658425	-14.9688089333237	-21.6773509874908	LV3003047118	ST8		154.5	24528	236.52	4.86949923256839	mgca_jonkers_2013	4.81528	91417437	63.5	42464543	65.7	7.70636378673969	24.528	1319922	864	6.12054859662214
LV3003047099	35.4631388093475	22.7364974287725	-9.31539700985357	5.24851576976682	-4.37905532823911	LV3003047099	ST8		159.5	25058	89.55	4.2375054250314	mgca_jonkers_2013	4.8113	28885458	59.3	17167551	60.8	7.73314724352832	25.058	501957	626	5.70066738023003
LV3003047071	29.0143555781962	31.5242523271121	-27.6790706043862	25.1333791550012	2.58983346065107	LV3003047071	ST8		169.5	26141	140.62	4.12720539382505	mgca_jonkers_2013	4.68128	68001919	56.3	20785023	59.2	7.78787645806057	26.141	445326	612	5.64867902703227
LV3003047169	31.2569716030954	36.5880011846115	-22.4144087384463	25.1462019995493	-2.0345870041568	LV3003047169	ST8		174.5	26670.3333333333	195.44	4.12763158267034	mgca_jonkers_2013	4.72362666666667	78793387	55.3	25386659	57.5	7.81462622496645	26.6703333333333	561645	673	5.74946267021869
LV3003047156	37.8051304652121	29.437996379156	-10.6818120933015	22.4888274805251	-0.266319896199282	LV3003047156	ST8		179.5	27199.6666666667	175.93	4.12805777151563	mgca_jonkers_2013	4.75	57674275	59.1	20077855	61	7.84137599187233	27.1996666666667	510882	666	5.70832145146083
LV7008886703	36.6618929156618	24.0005871927542	-17.2225021747529	25.6505988184355	-5.59705796950653	LV7008886703	GeoB25202_R1		84.5	27685.5	41.04	7.86592749392857	uk37_alkenone	4.75	139576170	55.3	32441759	57.3	7.86592749392857	27.6855	619230	750	5.79185268990988
LV7008886715	41.2273230192243	24.4073989101299	-13.078553173894	25.9233864558699	-4.69114897134489	LV7008886715	GeoB25202_R2		84.5	27685.5	77.28	7.86592749392857	uk37_alkenone	4.75	163412376	53.6	44513031	55.5	7.86592749392857	27.6855	811529	780	5.90930457911436
LV3003047144	44.5006395503183	29.05000047125	-11.6994000893132	26.7753838362473	-2.10118650503474	LV3003047144	ST8		184.5	27729	145.85	4.12848396036092	mgca_jonkers_2013	4.75	92057786	60.2	26538281	62.3	7.87282431997209	27.729	655177	744	5.81635930596999
LV3003047131	23.5809604617122	2.49586338900174	-23.0805262342003	14.5931971106821	5.91119210325824	LV3003047131	ST8		189.5	28245.3333333333	102.07	3.79878121129077	mgca_jonkers_2013	4.74509333333333	52927950	62	18465157	64.2	7.95468779538517	28.2453333333333	352895	547	5.54764673575364
LV3003061531	47.5367573931557	11.933580000837	0.36553727974207	19.5894727839986	-15.9289060685195	LV3003061531	ST13		76	28445	99.27	6.67825064126309	mgca_jonkers_2013	4.7411	92367510	61.2	35673132	62.1	7.98634449117112	28.445	983144	924	5.99261757485742
LV3003047117	18.0594084398254	7.86860785856252	-21.4621956220623	15.3207244730023	12.9306290116939	LV3003047117	ST8		194.5	28761.6666666667	158.61	3.46907846222062	mgca_jonkers_2013	4.73476666666667	120673383	62.4	16047191	66.1	8.03655127079825	28.7616666666667	291425	500	5.4645282953846
LV3003047098	-1.85682694422411	25.1353175783662	-26.3830048010519	20.8357881539062	14.1824852297848	LV3003047098	ST8		199.5	29278	110.66	3.13937571315047	mgca_jonkers_2013	4.69942	78560973	57.5	14314578	59.5	8.11841474621133	29.278	245864	424	5.39069670934575
LV3003047085	21.7839326662943	37.3092822804476	-21.2034743556767	28.5129588616171	11.0720550775664	LV3003047085	ST8		204.5	29703	130.79	3.1118182170815	mgca_jonkers_2013	4.65267	72934268	58.5	23719130	60.7	8.18579752939511	29.703	442512	606	5.64592603378036
LV3003047070	13.2931071240169	20.6831266060784	-27.2169873085285	17.2539647607722	10.1614263990935	LV3003047070	ST8		209.5	30128	151.38	3.08426072101253	mgca_jonkers_2013	4.62	68056678	53.6	17883228	56.6	8.25318031257889	30.128	302672	491	5.48097368136621
LV3003047168	19.8247040104228	35.7055761073612	-21.2069251932307	24.6585999108591	11.7145823645676	LV3003047168	ST8		214.5	30497	193.15	3.05670322494356	mgca_jonkers_2013	4.62	56419893	53.7	23672441	55.4	8.31168442315493	30.497	498307	625	5.69749785953302
LV3003061517	47.479411115235	-8.61588550878667	14.0582397700419	20.1697485722239	-13.0624148435214	LV3003061517	ST13		81	30678	343.69	6.45738016350526	mgca_jonkers_2013	4.62	166832578	74.7	79298875	86	8.34038156140496	30.678	1029848	862	6.01277355162342
LV3003047155	-8.42064736765723	28.4693328460037	-25.8874545867179	21.5381353611306	9.19646385826995	LV3003047155	ST8		219.5	30947.5	72.49	3.59259359265224	mgca_jonkers_2013	4.62	58779708	51.8	15672586	53.7	8.38311017332974	30.9475	275074	416	5.43945112163136
LV3003047143	19.4823185639663	3.95092228942087	-22.9587775867433	18.5874033074173	14.2027934661919	LV3003047143	ST8		224.5	31398	133.26	4.12848396036092	mgca_jonkers_2013	4.61204	135126726	57.5	24111588	60.5	8.45453592350455	31.398	385370	541	5.58587902995138
LV3003047130	13.2839090332457	7.97275499074311	-19.1615173126346	25.5214393013464	12.7426665943401	LV3003047130	ST8		229.5	31936	108.94	4.9756968195377	mgca_jonkers_2013	4.60128	43901456	63.3	16307041	66.4	8.53983459962896	31.936	253221	462	5.40350143461365
LV3003047114	7.41217982543851	-0.618303968412233	-16.7199563274423	17.2010159962132	13.6597900283608	LV3003047114	ST8		234.5	32385.5	41.03	4.80182032251746	mgca_jonkers_2013	4.59229	21045484	64.8	12594552	66.9	8.61110180207863	32.3855	219614	419	5.34166199968858
LV3003061505	31.0702274641942	6.53677764559195	-14.5008644079737	10.7067712809621	8.12763859140196	LV3003061505	ST13		86	32810	188.85	6.23650968574743	mgca_jonkers_2013	4.5838	82717700	80.4	45809256	89.7	8.67840531139984	32.81	454584	529	5.65761510115423
LV3003047097	18.3522842209961	3.4188714036274	-23.2278612053429	20.2549246874889	10.4092485314864	LV3003047097	ST8		239.5	32835	93.56	4.62794382549722	mgca_jonkers_2013	4.5833	84081411	56.6	17377814	59.5	8.6823690045283	32.835	325562	522	5.51263504176721
LV3003047084	24.4920305219595	-18.8299096976687	-6.95131689346708	11.2019363704613	7.10524222756084	LV3003047084	ST8		244.5	33276	4.13	6.53096294335688	mgca_jonkers_2013	4.58276	390411795	56.1	31074859	58.4	8.75228855131429	33.276	534055	655	5.72758679863126
LV3003047069	16.2619846692547	2.96600676896262	-16.0821274778281	5.72153822438448	13.7481482058487	LV3003047069	ST8		249.5	33743.6870748299	233.37	6.20212176047846	mgca_jonkers_2013	4.5874368707483	66820935	59	22512581	61.8	8.82643927310517	33.7436870748299	265589	451	5.42421171893929
LV3003047167	-0.465172793926357	20.4732926845112	-17.505206527685	18.1678574746771	10.560359726884	LV3003047167	ST8		259.5	34678.12	171.35	5.57495241758692	mgca_jonkers_2013	4.556094	55257624	57.2	14241098	59.7	8.97459148768522	34.67812	191213	385	5.28151968658108
LV3003061488	50.4457845676575	6.93075055727051	7.39167585598881	23.5869250999287	-10.1527868386186	LV3003061488	ST13		91	35041	245.05	6.0156392079896	mgca_jonkers_2013	4.53631	127243231	79.7	66338584	85.6	9.03212528618341	35.041	908601	806	5.95837368844164
LV3003047154	8.25274431357539	-2.60552399885957	-17.7374564494424	-0.475880486529934	11.4886464603509	LV3003047154	ST8		264.5	35130.12	109.23	5.75466161579687	mgca_jonkers_2013	4.5282892	24559061	57.6	12574749	58.9	9.04625505944773	35.13012	221684	420	5.34573630819064
LV3003047142	6.59974721018386	23.7275778854686	-15.0055197216239	21.9719587697301	11.1558152281438	LV3003047142	ST8		269.5	35582.3	78.67	5.88471892901571	mgca_jonkers_2013	4.487593	67334598	64.9	15239544	67.1	9.11794716980078	35.5823	202061	434	5.30548464730047
LV3003047129	23.8755949013519	25.3121288435409	-22.5428477341989	17.6791170839691	7.83683937560495	LV3003047129	ST8		274.5	36037.3	75.83	5.23689671070721	mgca_jonkers_2013	4.450373	33964594	62.9	16307844	64.1	9.19008638473871	36.0373	331944	549	5.52106613136895
LV3003047113	35.6722837020073	19.7468951092685	-18.1466397358132	14.3145887511094	3.38681366746575	LV3003047113	ST8		279.5	36489.27	109.94	4.62053611323564	mgca_jonkers_2013	4.4548927	73296885	60.2	24562830	62.8	9.26174520006947	36.48927	524909	644	5.72008484654115
LV7008886226	-2.63419682687568	4.17436345716511	-23.5391242847857	-7.3615874266787	4.55001762119959	LV7008886226	GeoB25202_R2		105.5	36607	46.28	9.28041102375	uk37_alkenone	4.45607	193464268	41.2	26190630	42.8	9.28041102375	36.607	640010	428	5.80618743835615
LV7008886776	46.1854280266684	1.23286920046004	2.61817494123572	26.6403030480729	-12.4744385099293	LV7008886776	GeoB25202_R1		105.5	36607	70.05	9.28041102375	uk37_alkenone	4.45607	152962664	56	41404251	58.3	9.28041102375	36.607	800670	829	5.90345409881058
LV3003047096	24.9760316444643	21.4076279307587	-26.6513159316659	16.0660329069873	6.48157107009716	LV3003047096	ST8		284.5	36893.77	135.25	4.49707424220948	mgca_jonkers_2013	4.4589377	56084885	55.6	20029588	57.5	9.23725876185055	36.89377	554559	569	5.74394854103382
LV3003061476	30.2431246819883	-12.1386878607817	-7.15617487508497	20.451187623282	3.05483955258133	LV3003061476	ST13		96	37160	137.29	5.79476873023177	mgca_jonkers_2013	4.452	84098583	70.2	34228366	72.2	9.19719729556924	37.16	530612	677	5.72477788597632
LV3003047083	13.9974874604662	-0.261412943430018	-20.4375214583706	9.40566440874144	12.1432958007496	LV3003047083	ST8		289.5	37303.19	129.5	4.36334977083705	mgca_jonkers_2013	4.4448405	66017005	60.6	17923283	63	9.1756505076159	37.30319	270682	443	5.43246098115644
LV3003047068	14.0874234584961	4.59015884086958	-19.1430023409836	4.36774077583134	11.9772697366017	LV3003047068	ST8		294.5	37789.69	99.85	4.0688445607065	mgca_jonkers_2013	4.4205155	45243801	64.9	16258007	69	9.10244349358346	37.78969	296447	437	5.47194852470327
LV3003047166	23.721421301416	2.66824858085162	-19.8139041270774	18.1117351786825	9.40963017465974	LV3003047166	ST8		299.5	38273.43	109.28	3.82073071156393	mgca_jonkers_2013	4.4482802	47667591	67.1	14626855	69.9	9.0296517958074	38.27343	363360	538	5.56033831209221
LV3003047153	24.4666741588362	1.67626657337602	-23.2988960549982	14.1800859950814	12.4825511841767	LV3003047153	ST8		304.5	38713.93	119.12	4.29941485123281	mgca_jonkers_2013	4.5099502	61725484	65.2	21806731	67.7	8.96336671938132	38.71393	404947	542	5.60739925836781
LV3003047141	-55.9458033450032	27.4895058417961	28.2620805820585	9.26259449781797	-9.99416841519859	LV3003047141	ST8		309.5	39153.47	61.93	4.70233543022987	mgca_jonkers_2013	4.55	956051	61.3	849760	61.8	8.89722610078355	39.15347	6891	27	3.83834526877599
LV3003047128	23.0363861647871	24.4259859546106	-20.9288651656594	21.4390208183582	6.91473953656543	LV3003047128	ST8		314.5	39577.97	73.06	3.9182935587019	mgca_jonkers_2013	4.55	61094930	57.4	16749573	59.4	8.83334865482924	39.57797	391438	564	5.59266409327141
LV3003047112	24.9157898621343	0.836925715267852	-14.1148292445234	8.22303944014272	9.15648107287054	LV3003047112	ST8		319.5	40033.5	82.07	3.21978661089373	mgca_jonkers_2013	4.54866	36464277	69.6	15715775	72.5	8.76480191052874	40.0335	326098	497	5.51334946702078
LV3003061571	27.6839070785151	14.3570766725053	-22.2728487300766	0.994929771510711	-0.702579994172715	LV3003061571	ST13		101	40457	159.84	6.07677656849543	mgca_jonkers_2013	4.53172	90191213	63	44685952	68.8	8.70107494147892	40.457	632984	558	5.80139341855698
LV3003047095	6.43647424927295	-6.52561108159093	-19.2941513479174	3.3265465002871	8.60779782101615	LV3003047095	ST8		324.5	40975.1666666667	76.96	3.86132680136238	mgca_jonkers_2013	4.51099333333333	55822169	58.7	15927657	60.6	8.62310282547109	40.9751666666667	317139	423	5.50125102185586
LV3003047082	1.39665845887703	0.100219382294439	-14.5795239852611	2.61589642427587	13.0509111575744	LV3003047082	ST8		329.5	41916.8333333333	61.65	4.50286699183103	mgca_jonkers_2013	4.50083166666667	37053519	59.3	19269518	60.4	8.48140374041344	41.9168333333333	203145	375	5.30780827537013
LV3003061558	40.7725505296201	-3.4250623080338	-9.64741803156724	16.0105715827272	-1.29802914290252	LV3003061558	ST13		106	42626	207.2	6.3587844067591	mgca_jonkers_2013	4.47496	75419217	85.6	38072076	102.9	8.37469053564879	42.626	584697	637	5.76693160830547
LV3003047067	30.8581591168076	-4.31338753655025	-12.244358940703	9.49484065640022	7.1045280876785	LV3003047067	ST8		334.5	42866.02	178.82	5.07611814185932	mgca_jonkers_2013	4.4653592	83694347	60.2	30143452	61.8	8.33857306903406	42.86602	369122	573	5.56717110686425
LV7008886740	22.9812625424491	-1.13923977099637	-14.4884039257802	8.18457124896399	1.02443247765152	LV7008886740	GeoB25202_R1		119.5	43105	37.22	8.3026120984	uk37_alkenone	4.4621	126565168	46	28164282	47.8	8.3026120984	43.105	390482	528	5.59160213125582
LV7008886752	13.0983759284576	2.27721580753226	-26.443458327425	8.91504407899937	6.78553360346676	LV7008886752	GeoB25202_R2		119.5	43105	26.14	8.3026120984	uk37_alkenone	4.4621	223261934	57.3	26874573	61.2	8.3026120984	43.105	380554	491	5.58041743238211
LV3003047164	1.03103225125561	7.04290107842086	-19.9043453449222	9.42399525892468	9.63011094336373	LV3003047164	ST8		339.5	43933.02	61.8	4.579507658322	mgca_jonkers_2013	4.4786604	45835273	73.5	20978998	75.5	8.37946113303367	43.93302	192338	381	5.28406735375224
LV3003047152	16.0610156196744	-4.02850640309464	-17.6443983925478	8.54049129658877	14.5461959798216	LV3003047152	ST8		344.5	45000.02	114.81	4.08289717478468	mgca_jonkers_2013	4.3300006	86684643	67.2	27393512	69.9	8.47849004532337	45.00002	280073	479	5.44727279400518
LV3003061544	30.3980960039016	-8.30953695997023	-9.00144669935829	12.5389003001438	3.60446450314136	LV3003061544	ST13		111	45122	154.76	6.64079224502277	mgca_jonkers_2013	4.33366	98492472	76.2	36658491	81.2	8.48981108255027	45.122	419887	567	5.62313346309173
LV3003047140	-42.8781157165987	23.983882219269	16.1264467673346	9.03907206820204	-1.47901835859428	LV3003047140	ST8		349.5	46094.8	83.7	3.6236552712401	mgca_jonkers_2013	4.361896	2441785	64.6	2055101	65.5	8.58009723613548	46.0948	29261	108	4.46630400597521
LV3003061530	8.56314251160815	-9.2945360745206	-13.9359818153833	3.68182241240361	9.78709016327061	LV3003061530	ST13		116	47046	117.63	6.92280008328644	mgca_jonkers_2013	4.38322	92176900	82.1	44841877	91.8	8.66837868071839	47.046	628860	417	5.79855466197296
LV3003047127	-29.8766187592017	12.2117147148864	-4.93286676187185	-2.39470595518968	3.25190298734982	LV3003047127	ST8		354.5	47624.8	56.2	3.74985445424827	mgca_jonkers_2013	4.423736	50491529	60.3	11382703	63	8.72209745713196	47.6248	96803	240	4.98589330299059
