threshold	method	taxon	consensus_module	mean_assignment_entropy	sites_present
prev_10	pearson	S__IMGVR_UViG_GVMAG-S-ERX556030-34_000001	M3	1.2824746	2
prev_10	pearson	S__IMGVR_UViG_GVMAG-S-ERX556043-36_000001	M3	0.0	4
prev_10	pearson	S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	M3	0.64100647	4
prev_10	pearson	S__Schulz_GVMAG_M_3300025652_16	M3	0.0	4
prev_10	pearson	S__Schulz_GVMAG_S_1024967_63	M3	1.923481	2
prev_10	pearson	S__Schulz_GVMAG_S_1102104_120	M3	1.2824746	2
prev_10	pearson	S__Schulz_GVMAG_S_1102114_126	M3	1.2822437	3
prev_10	pearson	S__TARA_ARC_108_MAG_00021	M3	0.0	4
prev_10	pearson	S__TARA_ARC_108_MAG_00099	M3	0.0	4
prev_10	pearson	S__TARA_ARC_108_MAG_00146	M3	0.0	4
prev_10	pearson	S__TARA_ARC_108_MAG_00181	M3	0.6412373	3
prev_10	pearson	S__TARA_ARC_NCLDV_00033	M3	0.6412373	3
prev_10	pearson	S__TARA_ARC_NCLDV_00036	M3	1.2824746	2
prev_10	pearson	S__TARA_ARC_NCLDV_00127	M3	0.0	4
prev_10	pearson	S__TARA_ARC_NCLDV_00176	M3	1.2824746	2
prev_10	pearson	S__TARA_ARC_NCLDV_00188	M3	0.0	4
prev_10	pearson	S__TARA_SOC_28_MAG_00007	M3	1.2824746	2
prev_10	pearson	S__TARA_SOC_28_MAG_00016	M3	0.6412373	3
prev_10	pearson	S__TARA_SOC_NCLDV_00026	M3	0.0	4
