taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette	mis_context_mean	mis_context_sd	mis_context_min	mis_context_max	mis_context_weight_sum	mis_context_core_count	mis_context_glacial_fraction	mis_context_class
S__3300026080_15	prev_10	pearson	M2	-0.35956413	0.32638264	-2.9102006	-1.050127	0.0	2	0.397277295589447	4.185139334130426	0.43422930438674323	3.120315	5.01406	55311.023333333294	3	0.6742751158644869	glacial_like
S__3300026087_14	prev_10	pearson	M2	-0.44733033	0.19550526	-1.673073	0.7079476	0.0	2	0.397277295589447	4.163541397565454	0.4294590016098202	3.120315	5.01406	86310.48347826082	4	0.6609555999726608	glacial_like
S__3300026253_28	prev_10	pearson	M1	-0.5148571	-0.9422812	3.0760972	0.5785998	0.0	2	0.397277295589447	4.147124898794237	0.4260540045678954	3.120315	5.01406	1454030.2971153846	4	0.6502594414448601	glacial_like
S__3300026253_8	prev_10	pearson	M2	-0.14931066	0.555591	-4.428058	0.17451246	0.0	2	0.397277295589447	4.15939853941377	0.4271677330835488	3.120315	5.01406	53737.273949275404	3	0.6591254011100507	glacial_like
S__3300026264_29	prev_10	pearson	M1	-0.5507299	-0.11382347	0.824998	-1.3837271	0.0	2	0.397277295589447	4.1614766143826545	0.42794797362518855	3.120315	5.01406	45525.82559921958	3	0.6602541124160619	glacial_like
S__3300026264_34	prev_10	pearson	M1	-0.61508846	-1.705016	6.6361275	1.5947534	0.0	2	0.397277295589447	4.156510874913024	0.4301353693874093	3.120315	5.01406	3481379.6187040084	4	0.6551808935822723	glacial_like
S__3300027687_20	prev_10	pearson	M2	-0.31902838	0.029758811	-0.49795794	0.99426454	0.0	2	0.397277295589447	4.174479075181102	0.4322628433568674	3.120315	5.01406	240141.11785395804	4	0.6675544248350711	glacial_like
S__3300027752_17	prev_10	pearson	M1	-0.32499513	-0.39068168	0.34028333	0.7514898	0.0	2	0.397277295589447	4.173950639330249	0.4309307090042185	3.120315	5.01406	162730.01957915275	4	0.6679393970829408	glacial_like
S__3300027771_26	prev_10	pearson	M1	-0.38422346	-0.49317735	1.5787587	0.4621626	0.0	2	0.397277295589447	4.133825294177512	0.4187348664519192	3.120315	5.01406	76138.36374303229	4	0.643919548836284	glacial_like
S__3300027779_22	prev_10	pearson	M2	-0.022435263	0.33392465	-3.4292128	1.2810048	0.0	2	0.397277295589447	4.170890439432852	0.4312404305862084	3.120315	5.01406	89602.73277591972	4	0.665468912198095	glacial_like
S__3300027791_27	prev_10	pearson	M2	0.052826434	0.27589786	-3.240823	0.6881739	0.0	2	0.397277295589447	4.1757764673629945	0.43260911182390605	3.120315	5.01406	119385.48074135999	4	0.6683191719329034	glacial_like
S__3300027827_16	prev_10	pearson	M1	-0.57001734	-0.6460191	2.5072258	-0.33232325	0.0	2	0.397277295589447	4.140697551335528	0.4222550248352842	3.120315	5.01406	168507.43221850618	4	0.6473850922647227	glacial_like
S__3300027844_79	prev_10	pearson	M2	-0.44577503	-0.1746993	-0.5619096	-0.35153747	0.0	2	0.397277295589447	4.158937385676986	0.4274446716368698	3.120315	5.01406	107076.29986064666	4	0.6586085501899548	glacial_like
S__3300027847_80	prev_10	pearson	M1	-0.72783566	-0.91842604	4.037777	-0.11752236	0.0	2	0.397277295589447	4.172998144593435	0.43212891649711915	3.120315	5.01406	571981.5109949828	4	0.6665267793967855	glacial_like
S__3300027997_10	prev_10	pearson	M2	-0.22928211	-0.21325141	-1.1279134	1.8787638	0.0	2	0.397277295589447	4.140914844149111	0.42556730483979976	3.120315	5.01406	399749.4479069124	4	0.6456510492947584	glacial_like
S__GCA_000213395.2	prev_10	pearson	M2	-0.5540296	-0.07147032	-0.61286044	-0.0016790793	0.0	2	0.397277295589447	4.177915389301309	0.4332903612561288	3.120315	5.01406	97148.34513935333	4	0.6695072705127049	glacial_like
S__GCA_000383355.1	prev_10	pearson	M2	-0.28326172	0.4351043	-3.4598753	-0.6871435	0.0	2	0.397277295589447	4.171892325415531	0.4313077133255635	3.120315	5.01406	41636.457500000004	3	0.6661845571276086	glacial_like
S__GCA_000402075.1	prev_10	pearson	M1	-0.41801417	-0.26706353	0.60804904	-1.4083954	0.0	2	0.397277295589447	4.17432360427442	0.43175894378578733	3.120315	5.01406	118007.10226588632	4	0.6677341057728304	glacial_like
S__GCA_001437625.1	prev_10	pearson	M1	-0.40095925	-0.7900983	2.1861582	-0.5039487	0.0	2	0.397277295589447	4.167045575502603	0.43035594432380375	3.120315	5.01406	317028.87175306544	4	0.6630874054849448	glacial_like
S__GCA_001510275.1	prev_10	pearson	M2	-0.38059032	-0.084581494	0.032470483	0.6566541	0.0	2	0.397277295589447	4.128208101384402	0.42115102297400103	3.120315	4.96297	151185.1432051282	3	0.6380266334625269	glacial_like
S__GCA_001542995.1	prev_10	pearson	M1	-0.5617763	-1.3249034	4.967787	1.367405	0.0	2	0.397277295589447	4.144209552634636	0.4234904072894953	3.120315	5.01406	349746.0042530654	4	0.6494483547271824	glacial_like
S__GCA_001543015.1	prev_10	pearson	M1	-0.5272396	-1.1773928	3.4234023	1.2000493	0.0	2	0.397277295589447	4.153769998838619	0.42620794463432826	3.120315	5.01406	3911099.062257525	4	0.6553429100370466	glacial_like
S__GCA_001643535.1	prev_10	pearson	M2	-0.28540587	-0.31379455	-0.19033009	1.7977484	0.0	2	0.397277295589447	4.127650596405473	0.4222819524407818	3.120315	4.96297	794964.2863461537	3	0.6369275767917789	glacial_like
S__GCA_002082295.1	prev_10	pearson	M2	-0.18550089	0.544381	-4.1328816	-0.26673147	0.0	2	0.397277295589447	4.2141465975530945	0.4404630083777136	3.120315	5.01406	76549.35942028977	3	0.6912219449275298	glacial_like
S__GCA_002295725.1	prev_10	pearson	M2	-0.4592523	-0.28266215	0.14025034	0.60835993	0.0	2	0.397277295589447	4.1352519590948065	0.4247363904083251	3.120315	5.01406	149804.5752954292	4	0.6416293267096971	glacial_like
S__GCA_002313235.1	prev_10	pearson	M1	-0.5217794	-0.19344848	0.65211064	0.3249222	0.0	2	0.397277295589447	4.157447360782668	0.42815549792140833	3.120315	5.01406	75272.7662012263	4	0.6570491335685509	glacial_like
S__GCA_002317795.1	prev_10	pearson	M1	-0.7297107	-1.7477963	7.296483	1.7610016	0.0	2	0.397277295589447	4.157147879470559	0.42782988745814304	3.120315	5.01406	417628.0613350051	4	0.6570141167962185	glacial_like
S__GCA_002335045.1	prev_10	pearson	M1	-0.86259943	-0.33546752	2.6437721	0.010562964	0.0	2	0.397277295589447	4.207179661711148	0.4398254898872567	3.120315	5.01406	44339.86598383503	3	0.6867411312873275	glacial_like
S__GCA_002499015.1	prev_10	pearson	M2	-0.4684176	-0.28532767	-0.13542204	0.31638995	0.0	2	0.397277295589447	4.166708842839524	0.42993946857430154	3.120315	5.01406	337452.97613712377	4	0.6630767018748295	glacial_like
S__GCA_003229345.1	prev_10	pearson	M1	-0.3103854	-0.5064565	1.7285101	-0.6582097	0.0	2	0.397277295589447	4.146414021290715	0.4287644601333086	3.120315	5.01406	112241.64764214048	4	0.6481357729957579	glacial_like
S__GCA_003331785.1	prev_10	pearson	M1	-0.49597055	-0.48643827	0.78825873	1.0469657	0.0	2	0.397277295589447	4.177221930573594	0.43298778593043963	3.120315	5.01406	132188.61496098113	4	0.6691707048838467	glacial_like
S__GCA_003526595.1	prev_10	pearson	M1	-0.6127796	-0.95458364	2.7984679	0.4842784	0.0	2	0.397277295589447	4.1709401102661365	0.4302874015524756	3.120315	5.01406	185264.7943868447	4	0.6660622353883842	glacial_like
S__GCA_003545625.1	prev_10	pearson	M1	-0.6801006	-1.0089848	3.5700831	0.09824739	0.0	2	0.397277295589447	4.137093160868216	0.42068617058009844	3.120315	5.01406	132768.38071348943	4	0.6454211348482317	glacial_like
S__GCA_003672175.1	prev_10	pearson	M2	-0.44650465	-0.32347178	-0.88929975	0.79603904	0.0	2	0.397277295589447	4.193987509868831	0.4374659250498589	3.120315	5.01406	297958.204916388	4	0.6787799316461494	glacial_like
S__GCA_004195625.1	prev_10	pearson	M1	-0.50282586	-0.6849545	2.474105	-0.2800351	0.0	2	0.397277295589447	4.175484829071654	0.4333398362786945	3.120315	5.01406	321637.9864855069	4	0.6676748983354698	glacial_like
S__GCA_004356455.1	prev_10	pearson	M2	-0.4153389	-0.20935208	-0.7203163	0.5725276	0.0	2	0.397277295589447	4.14864195080982	0.4265521402843645	3.120315	5.01406	209389.63924470457	4	0.6511592050257726	glacial_like
S__GCA_004356825.1	prev_10	pearson	M2	-0.23060688	-0.17654216	-0.857931	0.29236418	0.0	2	0.397277295589447	4.149530900985059	0.4280620724391867	3.120315	5.01406	177628.59280657742	4	0.6509767747914204	glacial_like
S__GCA_004356895.1	prev_10	pearson	M1	-0.4130504	-0.42621917	1.2583802	-0.7497275	0.0	2	0.397277295589447	4.172963136880067	0.4341163409573886	3.120315	5.01406	63588.54700668898	4	0.6653294153462135	glacial_like
S__GCA_008974855.1	prev_10	pearson	M2	-0.48247504	-0.39176738	-0.31059825	2.289751	0.0	2	0.397277295589447	4.170037008648259	0.43218554596762415	3.120315	5.01406	3356630.172561319	4	0.6642745703467762	glacial_like
