taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300026264_29	10	22	d__Bacteria	p__Marinisomatota	c__Marinisomatia	10	3	244386	100	TRUE	3300026264_29	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.972280200461305	1.85726019936611	1.41997030576523	6.99440000889898	102.878504672897	0.0578034682080925	0.75
S__3300026264_34	10	23	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	123	4	2981338	100	TRUE	3300026264_34	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	4.04357416986561	4.07612703168493	4.45696704003447	9.98557603869168	6542.33644859813	0.710982658959538	1
S__3300027687_20	10	24	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	40	4	1271050	100	TRUE	3300027687_20	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	0.228626321506942	2.7636868959247	1.83300350777138	7.28620324995752	577.364485981309	0.23121387283237	1
S__3300027752_17	10	25	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	38	4	1588530	100	TRUE	3300027752_17	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.38	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	0.127682750424968	2.25888008016871	1.51263502620162	6.50163517974267	405.61214953271	0.219653179190751	1
S__3300027771_26	10	26	d__Bacteria	p__Proteobacteria	c__Gammaproteobacteria	13	4	262463	100	TRUE	3300027771_26	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.12	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.853690346059776	1.88565634077901	1.40333512013178	6.64123712240937	138.803738317757	0.0751445086705202	1
S__3300027779_22	10	27	d__Bacteria	p__Marinisomatota	c__Marinisomatia	17	4	798153	100	TRUE	3300027779_22	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.62	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.684902755623998	1.72919688061802	1.31127217866757	5.31920761255653	210.733644859813	0.0982658959537572	1
S__3300027791_27	10	28	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	26	4	959137	100	TRUE	3300027791_27	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	-0.341723568379665	2.03648411989353	1.41094618623442	6.94511851906017	289.238317757009	0.15028901734104	1
S__3300027827_16	10	29	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	28	4	588348	100	TRUE	3300027827_16	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	-0.263118167468485	2.26024743126853	1.51279613472499	6.84622627622757	311.341121495327	0.161849710982659	1
S__3300027844_79	10	30	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	18	4	382744	100	TRUE	3300027844_79	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	-0.641371144372842	1.68902237839045	1.28778986783948	5.48619091203501	234.911214953271	0.104046242774566	1
S__3300027847_80	10	31	d__Archaea	p__Thermoplasmatota	c__Poseidoniia	56	4	939263	100	TRUE	3300027847_80	Pelagic_heterotroph_MGII	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_taxonomy_conserved	0.85	GTDB_MGII	""		""	""	""	GTDB c__Poseidoniia	Rinke et al. 2019 ISME J; Zhang et al. 2015 Front Microbiol	10.1038/s41396-018-0282-y; 10.3389/fmicb.2015.01108	""	0.958603463475469	3.22699820451965	2.23098189917702	8.82448913312944	1350.05607476636	0.323699421965318	1
