threshold	method	core	taxon	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	temporal_var_clr	prevalence	mean_tax_abund_tad	edge_type
5	bicor	ST13	S__IMGVR_UViG_3300025141_000590	-1.43224055116916	1.65029362810372	1.66161567127585	5.50500288256041	2.72346905895975	0.0208333333333333	139.625	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025264_000009	-1.29082282174166	2.20937867019337	1.87895124803143	7.14196769679398	4.88135410830541	0.0416666666666667	71.8333333333333	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025296_001443	-0.731894841563382	2.21967361664755	1.7439243302954	7.38372090872476	4.9269509644412	0.104166666666667	294	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025632_000006	-0.75673814888313	2.28129776295204	1.78032494415501	7.37516615146482	5.20431948324998	0.104166666666667	231.166666666667	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025637_000035	-0.50641467719114	2.69147900464623	1.96512635617542	7.06568508318084	7.24405923245145	0.125	552.625	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025652_000055	-1.2680841344582	1.95106962814359	1.72905644686766	6.96825339143544	3.80667269386438	0.0416666666666667	146.8125	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025653_000044	0.129694793970946	2.85212600946405	2.06288794885645	7.29713739152589	8.13462277386135	0.208333333333333	518.8125	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025666_000032	-1.45170236015222	1.45666732398062	1.6028462468646	4.81082211950514	2.12187969275287	0.0208333333333333	54.8541666666667	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025696_000003	-1.13648870684884	2.34177483071068	1.91483159177708	7.01298225616457	5.48390935775003	0.0625	86.375	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025707_000009	-1.11259561314785	2.12128486536907	1.78146650655834	5.65003321295404	4.49984948004389	0.0625	135.520833333333	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025832_000009	-0.785504791346347	2.31708840147848	1.81235869451865	5.7517406966488	5.36889866026609	0.104166666666667	175.479166666667	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025853_000376	-1.06845775290485	2.1476505774145	1.76978440441765	5.7624487506889	4.61240300266884	0.0625	302.0625	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025860_000061	-0.0167585587759555	3.00533370379609	2.1544905705334	7.25923834636739	9.03203067117273	0.1875	550.395833333333	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025869_000017	0.696839118418607	3.07468244389416	2.21281757891695	6.83764048534945	9.45367213079097	0.25	1505.25	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300025874_000005	-1.12678360617941	1.99517387027475	1.72343127534242	5.34373836540268	3.98071877262712	0.0625	102.729166666667	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027668_002455	-0.942004398029961	1.70192642813733	1.54606759777054	4.09321246804348	2.8965535667923	0.0833333333333333	160.958333333333	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027687_000007	3.62673580243954	3.84830710632808	4.36828514485073	7.77387016750698	14.8094675846152	0.604166666666667	2085.39583333333	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027780_000015	2.32519176861916	3.82908064527787	3.35137083503671	7.6964257906199	14.6618585880416	0.4375	2115.25	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027788_000027	-1.27762036063286	1.65353218703878	1.61680934591311	4.94176293838623	2.73416869357326	0.0416666666666667	99.3541666666667	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027791_000032	-1.2583522469099	1.68550953345158	1.62415166819736	4.81082211950514	2.84094238735616	0.0416666666666667	156.604166666667	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027813_000042	0.879895622056483	3.99487788979448	2.93814290280615	8.30982029549905	15.9590493543688	0.270833333333333	1933.625	taxon_site_context
5	bicor	ST13	S__IMGVR_UViG_3300027833_000016	0.322969382055606	2.79746571127381	2.03922868579527	6.27470471401782	7.82581440575266	0.229166666666667	644.0625	taxon_site_context
