from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__3300020187_18	S__GCA_905478615.1	5	0.154081779692698	0.154081779692698	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002499015.1	S__3300027687_20	5	0.229404197483038	0.229404197483038	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300038315_000065	S__3300027687_20	5	0.288811897517402	0.288811897517402	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027997_10	S__3300027687_20	5	0.192191449634166	0.192191449634166	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027687_20	S__TARA_ARC_108_MAG_00021	5	0.390454527327361	0.390454527327361	mi_aracne	mi_aracne	spearman	0	ST13
S__3300026264_34	S__3300020300_16	5	0.092347170450055	0.092347170450055	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905181595.1	S__3300020300_16	5	0.175499379928003	0.175499379928003	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020263_16	S__GCA_905618915.1	5	0.115145453750336	0.115145453750336	mi_aracne	mi_aracne	spearman	0	ST13
S__3300020187_18	S__GCA_905618915.1	5	0.106920940865252	0.106920940865252	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002317795.1	S__GCA_003526595.1	5	0.161435561930945	0.161435561930945	mi_aracne	mi_aracne	spearman	0	ST13
S__GCF_013407165.1	S__GCA_003526595.1	5	0.155226092454481	0.155226092454481	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905618915.1	S__GCA_003526595.1	5	0.10204137844917	0.10204137844917	mi_aracne	mi_aracne	spearman	0	ST13
S__3300024431_33	S__3300027827_16	5	0.117768706537256	0.117768706537256	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905478185.1	S__3300027827_16	5	0.328956461150136	0.328956461150136	mi_aracne	mi_aracne	spearman	0	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__IMGVR_UViG_3300006467_000165	5	0.293459422383634	0.293459422383634	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027833_000046	S__IMGVR_UViG_3300006467_000165	5	0.359266230236805	0.359266230236805	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	S__IMGVR_UViG_3300031519_000018	5	0.0932076712903489	0.0932076712903489	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905478185.1	S__IMGVR_UViG_3300031519_000018	5	0.210024162142556	0.210024162142556	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_002499015.1	S__GCA_009937205.1	5	0.160571007836749	0.160571007836749	mi_aracne	mi_aracne	spearman	0	ST13
S__3300006311_3	S__GCA_003672175.1	5	0.0989269284982531	0.0989269284982531	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_003526595.1	S__GCA_003672175.1	5	0.11614007401844	0.11614007401844	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_009937205.1	S__GCA_003672175.1	5	0.278979577186276	0.278979577186276	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027687_000007	S__GCF_012276695.1	5	0.0687154190958636	0.0687154190958636	mi_aracne	mi_aracne	spearman	0	ST13
S__3300006311_3	S__GCF_012276695.1	5	0.110438941340477	0.110438941340477	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905612455.1	S__GCF_012276695.1	5	0.22722517211191	0.22722517211191	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182815.1	S__GCF_012276695.1	5	0.206468886858795	0.206468886858795	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_012960805.1	S__GCF_012276695.1	5	0.308791592180886	0.308791592180886	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905618915.1	S__GCF_012276695.1	5	0.088329048882035	0.088329048882035	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300006467_000165	S__GCA_003331785.1	5	0.547299240534194	0.547299240534194	mi_aracne	mi_aracne	spearman	0	ST13
S__Schulz_GVMAG_M_3300025652_16	S__IMGVR_UViG_3300049783_000307	5	0.110137861022026	0.110137861022026	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027752_17	S__IMGVR_UViG_3300049783_000307	5	0.0959848363113223	0.0959848363113223	mi_aracne	mi_aracne	spearman	0	ST13
S__3300006311_3	S__GCA_905612295.1	5	0.0790626848584735	0.0790626848584735	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182815.1	S__GCA_013215285.1	5	0.217385741188195	0.217385741188195	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016276965.1	S__GCA_013215285.1	5	0.198856670604463	0.198856670604463	mi_aracne	mi_aracne	spearman	0	ST13
S__3300027997_10	S__GCA_905182465.1	5	0.665544992353977	0.665544992353977	mi_aracne	mi_aracne	spearman	0	ST13
S__Phycodnaviridae_HM004430_Bathycoccus_sp_RCC1105_virus_BpV2	S__3300027771_26	5	0.462674406903231	0.462674406903231	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300027833_000046	S__3300027771_26	5	0.355146321764365	0.355146321764365	mi_aracne	mi_aracne	spearman	0	ST13
S__Schulz_GVMAG_S_1024967_63	S__IMGVR_UViG_3300025869_000017	5	0.0451545432259187	0.0451545432259187	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_013215285.1	S__IMGVR_UViG_3300025869_000017	5	0.145293674202273	0.145293674202273	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182865.1	S__GCA_905182235.1	5	0.21323740209704	0.21323740209704	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_016838825.1	S__GCA_905182885.1	5	0.165008676589437	0.165008676589437	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182865.1	S__GCA_905182885.1	5	0.223021456162219	0.223021456162219	mi_aracne	mi_aracne	spearman	0	ST13
S__IMGVR_UViG_3300020166_000015	S__GCA_905182885.1	5	0.127470359354706	0.127470359354706	mi_aracne	mi_aracne	spearman	0	ST13
S__TARA_ARC_108_MAG_00021	S__GCA_905182885.1	5	0.352635779329485	0.352635779329485	mi_aracne	mi_aracne	spearman	0	ST13
S__GCA_905182465.1	S__GCA_905182885.1	5	0.187199845010309	0.187199845010309	mi_aracne	mi_aracne	spearman	0	ST13
