from	to	threshold	signed_weight	weight	abs_weight	method	method_suffix	threshold_value	core
S__TARA_SOC_NCLDV_00026	S__GCA_905182815.1	5	0.623020105949269	0.623020105949269	0.623020105949269	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612295.1	S__GCA_905182815.1	5	0.859869875189159	0.859869875189159	0.859869875189159	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024353_52	S__GCA_905182815.1	5	0.695932225994744	0.695932225994744	0.695932225994744	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024431_33	S__GCA_905182815.1	5	0.579523764656429	0.579523764656429	0.579523764656429	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_008974855.1	S__GCA_905182815.1	5	-0.606405975752332	0.606405975752332	0.606405975752332	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300024516_13	S__GCA_905182815.1	5	0.69292809639172	0.69292809639172	0.69292809639172	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612275.1	S__GCA_905182815.1	5	0.72107423421753	0.72107423421753	0.72107423421753	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020300_16	S__GCA_905182815.1	5	0.854190930608759	0.854190930608759	0.854190930608759	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016777225.1	S__GCA_905182815.1	5	0.609904162155067	0.609904162155067	0.609904162155067	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300027847_80	S__GCA_905182815.1	5	0.635042211340247	0.635042211340247	0.635042211340247	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__IMGVR_UViG_3300027780_000015	S__GCA_905182815.1	5	0.661936043114163	0.661936043114163	0.661936043114163	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_905612455.1	S__GCA_905182815.1	5	0.757051275581957	0.757051275581957	0.757051275581957	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__3300020263_16	S__GCA_905182815.1	5	0.732174700524605	0.732174700524605	0.732174700524605	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__IMGVR_UViG_3300027813_000042	S__GCA_905182815.1	5	0.837078522695054	0.837078522695054	0.837078522695054	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_001543015.1	S__3300006311_3	5	-0.590937047569292	0.590937047569292	0.590937047569292	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
S__GCA_016838825.1	S__3300006311_3	5	0.749826136470678	0.749826136470678	0.749826136470678	bicor_abs_threshold	bicor	0.55	GeoB25202_R2
