from	to	signed_weight	weight	abs_weight	method	core
S__GCA_012974305.1	S__GCA_013003675.1	0.628717948717949	0.628717948717949	0.628717948717949	spearman_abs_threshold	GeoB25202_R1
S__GCA_017368835.1	S__GCA_013003675.1	0.692307692307692	0.692307692307692	0.692307692307692	spearman_abs_threshold	GeoB25202_R1
S__GCA_001795235.1	S__GCA_013003675.1	0.724444444444444	0.724444444444444	0.724444444444444	spearman_abs_threshold	GeoB25202_R1
S__3300024060_27	S__GCA_013003675.1	0.693675213675214	0.693675213675214	0.693675213675214	spearman_abs_threshold	GeoB25202_R1
S__3300026119_12	S__GCA_013003675.1	0.551452991452991	0.551452991452991	0.551452991452991	spearman_abs_threshold	GeoB25202_R1
S__3300024516_14	S__GCA_013003675.1	0.672478632478633	0.672478632478633	0.672478632478633	spearman_abs_threshold	GeoB25202_R1
S__3300004632_4	S__GCA_013003675.1	0.816752136752137	0.816752136752137	0.816752136752137	spearman_abs_threshold	GeoB25202_R1
S__GCA_016869675.1	S__GCA_013003675.1	0.807863247863248	0.807863247863248	0.807863247863248	spearman_abs_threshold	GeoB25202_R1
S__3300017441_13	S__GCA_013003675.1	0.842735042735043	0.842735042735043	0.842735042735043	spearman_abs_threshold	GeoB25202_R1
S__GCA_016202695.1	S__GCA_013003675.1	0.747008547008547	0.747008547008547	0.747008547008547	spearman_abs_threshold	GeoB25202_R1
S__GCA_013349685.1	S__GCA_013003675.1	0.846153846153846	0.846153846153846	0.846153846153846	spearman_abs_threshold	GeoB25202_R1
S__GCA_016190405.1	S__GCA_013003675.1	0.674529914529915	0.674529914529915	0.674529914529915	spearman_abs_threshold	GeoB25202_R1
S__GCA_002726085.1	S__GCA_013003675.1	0.635555555555555	0.635555555555555	0.635555555555555	spearman_abs_threshold	GeoB25202_R1
S__GCA_017368835.1	S__3300025798_6	0.718290598290598	0.718290598290598	0.718290598290598	spearman_abs_threshold	GeoB25202_R1
S__3300017441_13	S__3300025798_6	0.66017094017094	0.66017094017094	0.66017094017094	spearman_abs_threshold	GeoB25202_R1
S__GCA_016202695.1	S__3300025798_6	0.738803418803419	0.738803418803419	0.738803418803419	spearman_abs_threshold	GeoB25202_R1
S__GCA_013349685.1	S__3300025798_6	0.637606837606838	0.637606837606838	0.637606837606838	spearman_abs_threshold	GeoB25202_R1
S__GCA_016190405.1	S__3300025798_6	0.584957264957265	0.584957264957265	0.584957264957265	spearman_abs_threshold	GeoB25202_R1
S__GCA_012974305.1	S__3300024431_27	0.878974358974359	0.878974358974359	0.878974358974359	spearman_abs_threshold	GeoB25202_R1
