sample	PC1	PC2	PC3	PC4	PC5	label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7001898088	0.589003997039774	21.3802384611532	-1.46623017063775	-8.9788498195026	13.5618805488676	LV7001898088	ST13		10	6031	202.91		""	3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031	1071475	88	2021336	1501541	1329016	1368771	10	6.02998244772101	6.30563872570694	6.1765374844625
LV7001898076	30.538670226073	-1.11041955816397	-5.42701865759137	-19.536521879877	8.79076449870036	LV7001898076	ST13		15	6429	184.76		""	3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429	736908	108	1404593	971175	1013861	1038342	10	5.86741386067053	6.14755080890979	5.98729794144499
LV7001898064	3.33359366339819	0.719585497921385	-19.0830779576625	-14.7438245527423	-5.30021103561738	LV7001898064	ST13		20	6808	117.6		""	3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808	180903	40	526014	281419	316824	328372	10	5.25744816972727	5.72099812880078	5.4493549587028
LV3003046995	-26.4063267225091	6.67035943843241	27.3377309831422	-12.5552401271432	-1.13679226972695	LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705	339851	51	349746	197557	535557	546765	10	5.53128983005174	5.54375399796291	5.29569462088412
LV7008886751	-5.82293014150636	-7.71847071653943	-13.7811326968085	-6.81720887967058	6.26881929402925	LV7008886751	GeoB25202_R1		38.5	7133.5	84.76	6.13742853745238	uk37_alkenone	3.376675	167350731	43.1	40174994	44.4	6.13742853745238	7.1335	99206	14	327700	142749	203241	212124	10	4.99654231685295	5.51547776666104	5.15457611691789
LV7008886763	-4.96103942744028	-9.39914074677437	-8.29264319980868	-6.31901359352604	4.34557207148239	LV7008886763	GeoB25202_R2		38.5	7133.5	37.96	6.13742853745238	uk37_alkenone	3.376675	153803085	44.3	35210092	46.4	6.13742853745238	7.1335	59198	10	198976	89240	117463	123364	10	4.77231437060552	5.29880287866916	4.95056442817443
LV3003061546	-2.78631472108087	-6.49990931345641	-21.1779108679455	-12.3284175785772	0.564680822020084	LV3003061546	ST13		25	7197	267.14		""	3.37985	57808931	62.4	41212328	62.7	6.14534613060279	7.197	202234	27	429823	258502	302657	310310	10	5.30585631936311	5.6332906614499	5.41246558756878
LV3003061533	-0.388581843120053	-3.53334668301003	-18.7589391822744	-12.4595249373437	-1.78287423559598	LV3003061533	ST13		30	7912	290.8		""	3.4156	103171906	59.1	63404336	59.5	6.23449698261132	7.912	184474	31	446525	248339	295532	304047	10	5.26593751901699	5.64984675175263	5.3950466767844
LV3003046980	-25.5162590752759	6.33118017217538	14.290401296029	-15.7867887744936	-7.0452659757569	LV3003046980	ST8		40	8056	95.39	5.42145708999487	mgca_jonkers_2013	3.41776	84644758	80.9	70313255	82.7	6.25245183951933	8.056	153149	44	340447	192769	239821	245307	10	5.18511700114259	5.53205078721016	5.28503944736652
LV3003061518	29.5062394359333	-0.772496751724694	0.792198095864986	-15.0941082335974	10.7502536918688	LV3003061518	ST13		35	9804	303.98		""	3.49256	114542623	68.5	78968770	69.5	6.47040385254158	9.804	392118	95	737122	478177	561102	571602	10	5.59341788640946	5.86753996243736	5.67958959123105
