label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7008886705	GeoB25202_R1		159.5	59738	23.86	7.834293148625	uk37_alkenone	4.55546	95103090	43.4	12531371	45.3	7.834293148625	59.738	5615	2	60250	7237	37297	38733	5	LV7008886705	3.74942709912175	4.77996425939426	3.85961857877218
LV7008886717	GeoB25202_R2		159.5	59738	49.74	7.834293148625	uk37_alkenone	4.55546	128512499	41.9	19897194	43.6	7.834293148625	59.738	17680	5	145283	22490	92662	96419	5	LV7008886717	4.24750682414992	5.16221778845959	4.35200876556578
LV3003047149	ST8		409.5	60431.7	45.56	5.12335113965152	mgca_jonkers_2013	4.561147	62250597	65.1	9170430	69.9	7.85555370343168	60.4317	17003	7	127497	19380	83638	86757	5	LV3003047149	4.23055109629509	5.10550337225408	4.2873761815526
LV3003047148	ST8		414.5	61376.7	47.48	5.00464486121452	mgca_jonkers_2013	4.543903	53529330	65.5	11451620	69.9	7.88451611411687	61.3767	32172	11	164791	37975	112419	115892	5	LV3003047148	4.50749155896537	5.21693612459297	4.5795092187103
LV3003061543	ST13		151	62293	184.56	8.01949712798326	mgca_jonkers_2013	4.57949	90294874	80.7	44589548	82.9	7.91259892566273	62.293	263270	78	557510	284314	459315	468248	5	LV3003061543	5.42040302304982	5.74625344067477	5.45379977297001
LV3003047147	ST8		419.5	62321.7	48.14	4.88593858277752	mgca_jonkers_2013	4.577481	52440180	63.1	9223523	66.9	7.91347852480206	62.3217	27707	10	155306	26272	110083	114157	5	LV3003047147	4.4426051789648	5.19119103069869	4.41950966582214
LV3003047146	ST8		424.5	63266.7	97.4	4.76723230434052	mgca_jonkers_2013	4.484661	58056720	65	17613674	68	7.94244093548725	63.2667	65624	21	234904	55316	180359	186239	5	LV3003047146	4.81706931641401	5.37089226092107	4.74285861903715
LV3003047126	ST8		429.5	64210.824	52.91	4.67067279387671	mgca_jonkers_2013	4.38529888	39791476	69.2	8102851	73.6	7.97137649847746	64.210824	12054	6	111381	13603	71720	73911	5	LV3003047126	4.08116721471347	5.0468150119122	4.13366662326068
LV3003061529	ST13		156	66015	177.08	8.00905235853065	mgca_jonkers_2013	4.56805	91959511	75.1	42965230	98.8	8.02667098129265	66.015	323702	87	692281	373735	529237	539575	5	LV3003061529	5.51014672435595	5.84028303968265	5.57256493314085
LV3003047138	ST8		439.2	66015.8	67.91	5.15646144484223	mgca_jonkers_2013	4.567946	43852530	62.5	11180916	66.1	8.02669549973556	66.0158	28742	11	157983	25614	115682	118892	5	LV3003047138	4.45853209488555	5.19861310553944	4.40849436021236
LV3003047137	ST8		444.2	66946.2	44.94	5.40686796595848	mgca_jonkers_2013	4.446994	57575945	58.1	8645599	61.2	8.05521044883768	66.9462	26457	8	138706	30194	86571	89762	5	LV3003047137	4.42255701211936	5.14209837877092	4.47993503394434
LV3003047136	ST8		449.2	67876.6	70.92	5.65727448707473	mgca_jonkers_2013	4.422468	48960938	67.8	12594447	74.4	8.08372539793979	67.8766	43958	16	184644	29239	156889	160500	5	LV3003047136	4.64304780432876	5.26633755189055	4.46597736828582
