taxon	glacial_present	interglacial_present	glacial_absent	interglacial_absent	odds_ratio	p_value	glacial_mean_abund	interglacial_mean_abund	log2fc	fdr	enrichment_class	threshold	method	taxon_embedding_plot	site_embedding_plot	core_mis_midpoint
S__GCA_905480095.1	6	12	143	53	0.187041357242357	0.000994795788995299	95.7852348993289	687.446153846154	-2.84337151215601	0.00782271234073576	interglacial_enriched	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905480315.1	3	10	146	55	0.114353389944082	0.000490426565072834	51.7785234899329	397.476923076923	-2.94044534663082	0.00424218978788002	interglacial_enriched	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905612275.1	39	12	110	53	1.56277912690498	0.295141885678442	896.657718120805	778.215384615385	0.20438786746569	0.481693832286513	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905612295.1	103	19	46	46	5.37387531215091	8.54981241077132e-08	3978.71140939597	1351.61538461538	1.55761658110522	7.39558773531719e-06	glacial_enriched	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905612305.1	17	7	132	58	1.06678408007889	1	304.657718120805	224.830769230769	0.438349798802558	1	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905612365.1	20	1	129	64	9.85909658085995	0.0052884612234004	451.805369127517	17.3230769230769	4.70493422604808	0.0228725947912067	glacial_enriched	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905612455.1	75	23	74	42	1.8454865099269	0.0525744322447197	2217.26845637584	1574.52307692308	0.493868552785717	0.139928873512869	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905616395.1	11	1	138	64	5.07554831580065	0.111764884146479	167.302013422819	33.7076923076923	2.31130500746087	0.238707715522726	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905618915.1	31	7	118	58	2.16966191706418	0.0834100074122272	663.597315436242	251.692307692308	1.39864692134064	0.200415712254379	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCA_905620445.1	10	0	139	65	Inf	0.0340834120867237	123.41610738255	0	26.8789554677429	0.101662591224193	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
S__GCF_002836475.1	9	1	140	64	4.09439212190798	0.288777752644896	94.6375838926175	24	1.9793787912914	0.475795725786353	neither	prev_10	mi_aracne	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_taxon_embedding_enrichment_pca.png	/src/results/ngraph/abundance_thresholding/deep_modules/prev_10/mi_aracne/figures/vgae_site_embedding_mis_pca.png	4
