from	to	threshold	weight	abs_weight	method	method_suffix	estimator	aracne_eps	core
S__GCA_905612275.1	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	10	0.218143212961057	0.218143212961057	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300027997_10	S__IMGVR_UViG_GVMAG-M-3300025652-16_000001	10	0.284202296219072	0.284202296219072	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_12	S__GCA_003526595.1	10	0.0608331527215641	0.0608331527215641	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__GCA_002295725.1	10	0.295126568047805	0.295126568047805	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300006311_3	S__GCA_002295725.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_22	S__GCA_002295725.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_012276695.1	S__GCA_002295725.1	10	0.06351374165364	0.06351374165364	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_015659035.1	S__GCA_002295725.1	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__GCA_004356455.1	10	0.295126568047805	0.295126568047805	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300006311_3	S__GCA_004356455.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_22	S__GCA_004356455.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_012276695.1	S__GCA_004356455.1	10	0.06351374165364	0.06351374165364	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_015659035.1	S__GCA_004356455.1	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_002295725.1	S__GCA_004356455.1	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_013215285.1	S__GCF_014279835.1	10	0.0821429458375949	0.0821429458375949	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300027997_10	S__GCF_014279835.1	10	0.522978201160356	0.522978201160356	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__GCA_001437625.1	10	0.465705188485521	0.465705188485521	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_016777225.1	S__GCA_001437625.1	10	0.0962526533015921	0.0962526533015921	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300020330_9	S__GCA_001437625.1	10	0.432287927383728	0.432287927383728	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__GCA_004356825.1	10	0.295126568047805	0.295126568047805	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300006311_3	S__GCA_004356825.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_22	S__GCA_004356825.1	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_012276695.1	S__GCA_004356825.1	10	0.06351374165364	0.06351374165364	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_015659035.1	S__GCA_004356825.1	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_002295725.1	S__GCA_004356825.1	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_004356455.1	S__GCA_004356825.1	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_003229345.1	S__3300024516_18	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__IMGVR_UViG_3300035195_000275	S__TARA_ARC_NCLDV_00188	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300026253_28	S__3300024516_26	10	0.295126568047805	0.295126568047805	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300006311_3	S__3300024516_26	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__3300024058_22	S__3300024516_26	10	0.155447692634238	0.155447692634238	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCF_012276695.1	S__3300024516_26	10	0.06351374165364	0.06351374165364	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_015659035.1	S__3300024516_26	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_002295725.1	S__3300024516_26	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_004356455.1	S__3300024516_26	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_004356825.1	S__3300024516_26	10	6.90775527896776	6.90775527896776	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
S__GCA_003526595.1	S__GCA_905182465.1	10	0.397854755456679	0.397854755456679	mi_aracne	mi_aracne	spearman	0	GeoB25202_R2
