threshold	method	site	taxon	sites_present	assignment_entropy	consensus_module	module_prob_1	module_prob_2	module_prob_3	module_prob_4	module_prob_5	module_prob_6	module_prob_7	module_prob_8	module_prob_9	module_prob_10	module_prob_11	module_prob_12	module_prob_13	module_prob_14	module_prob_15	module_prob_16	module_prob_17	module_prob_18	module_prob_19
prev_3	mi_aracne	ST8	S__3300026264_29	3	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300026264_34	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027668_18	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027685_18	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027685_58	3	2.942887544631958	M3	0.05876791849732399	0.051067497581243515	0.05323047563433647	0.05783941224217415	0.05070304498076439	0.054910726845264435	0.05070304498076439	0.05070304498076439	0.05070304498076439	0.05070304498076439	0.05070304498076439	0.05489397794008255	0.05070304498076439	0.05111109837889671	0.05962582677602768	0.05070304498076439	0.05070304498076439	0.05105069279670715	0.051174964755773544
prev_3	mi_aracne	ST8	S__3300027687_10	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027687_20	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027752_17	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027771_26	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027779_22	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027779_26	3	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027779_27	3	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027791_27	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027801_13	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027801_51	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027801_7	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027827_16	4	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027833_15	1	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027844_60	2	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
prev_3	mi_aracne	ST8	S__3300027844_72	3	-0.0	M3	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
