node_id	node_type	z_1	z_2	z_3	z_4	z_5	z_6	z_7	z_8	z_9	z_10	z_11	z_12	z_13	z_14	z_15	z_16	z_17	z_18	z_19	z_20	z_21	z_22	z_23	z_24	z_25	z_26	z_27	z_28	z_29	z_30	z_31	z_32
S__IMGVR_UViG_3300031957_000171	taxon	0.33787078	-0.6848478	-0.93957305	-0.20411879	1.2887982	-0.04118558	-0.11215894	0.010685861	1.765015	1.0116693	1.505333	-0.30907887	0.8462995	-1.7181518	0.040883355	0.2738068	-0.17189324	0.891587	0.5557758	0.6840401	-0.8011664	0.3064034	-1.2526382	0.3427753	-1.2929718	0.4459313	0.5695248	-0.23915249	-1.4732287	-0.45960817	-0.49951643	-0.7029613
S__IMGVR_UViG_3300032081_000046	taxon	0.49967092	-0.62577534	-1.25283	-0.5345891	1.7111832	0.32967165	-0.38072985	0.31485796	1.8936987	1.2845151	1.6828299	-0.44655618	0.82553506	-2.2224739	-0.0625685	0.9044837	0.4943901	1.2981765	0.5720192	0.56056744	-0.8067961	1.05649	-1.5329741	0.56325203	-1.2974149	0.89044416	1.1494701	-0.6903848	-1.4929714	-0.9535607	-1.0983304	-0.7424356
S__IMGVR_UViG_3300034380_000005	taxon	0.60320044	-0.57272786	-1.2515774	-0.610199	1.7151628	0.33372676	-0.34505343	0.27353084	1.9121308	1.1765237	1.6416471	-0.47476205	0.8422923	-2.2432513	-0.08541861	0.88876665	0.47364578	1.2738495	0.57323766	0.6823087	-0.8678255	1.0759684	-1.5341611	0.58546984	-1.2708199	0.89062023	1.1758434	-0.7213868	-1.5693169	-0.96929467	-1.118194	-0.7376903
S__IMGVR_UViG_3300034980_000082	taxon	0.010045916	-0.7070452	-0.958896	0.07922499	1.4293492	0.2832616	-0.41697246	0.22638375	0.95528424	0.7745574	0.9125668	-0.28371334	0.8697642	-1.359802	0.3861608	0.9206991	0.814165	0.8664645	0.26584068	0.0011299849	-0.5829444	0.43276182	-1.367816	-0.14501297	-0.36980486	-0.011026204	1.1857257	-0.93788093	-0.64794874	-1.2169284	-0.49924713	0.4834931
S__IMGVR_UViG_3300035195_000275	taxon	-1.9204376	-0.80371344	1.8837872	2.7146688	-2.5781968	-1.4563574	-1.1395426	-0.40715456	-3.4145684	-0.42089778	-2.2763655	2.8250294	-1.2973819	2.680397	1.0601968	-2.1215322	-0.9223019	-2.326553	-2.831232	-2.03819	1.2093995	-2.8880987	0.6549429	-0.8636855	1.6261754	-2.6718273	-2.6401007	1.2688583	1.5311952	1.1337926	1.446471	1.7354008
S__IMGVR_UViG_3300037191_001144	taxon	0.06359497	-0.6801646	-0.95475584	0.023398593	1.4520252	0.27814567	-0.39970306	0.20237595	0.96504426	0.70663786	0.9348335	-0.33782238	0.8852759	-1.3710395	0.3648364	0.9726039	0.8690887	0.8727454	0.31507364	0.06676838	-0.5993501	0.49587053	-1.3990489	-0.1327434	-0.32600754	0.020435333	1.2436762	-0.99005014	-0.6480243	-1.243849	-0.5076554	0.49069542
S__IMGVR_UViG_3300037585_000783	taxon	0.110033125	-0.6566375	-0.9588903	-0.008807749	1.469737	0.3094087	-0.40906787	0.17994016	0.998132	0.68191695	0.93539315	-0.35627577	0.86459345	-1.3919969	0.33163717	0.96816397	0.86759454	0.9027177	0.34379783	0.105689004	-0.64254403	0.4883896	-1.3999641	-0.15229954	-0.32313004	0.055130184	1.288028	-0.99261147	-0.6502154	-1.2535338	-0.5258611	0.5114015
S__IMGVR_UViG_3300037635_001655	taxon	-0.5635211	-0.64487314	-0.4971562	0.5779078	0.86546767	-0.2290105	-0.64789885	0.04307449	-0.073546335	0.58433366	0.4926787	-0.009992242	0.7386255	-0.61129093	0.6234009	0.4068762	0.54218274	0.25322288	-0.11717418	-0.1264109	-0.23934805	-0.29102778	-1.0494877	-0.24629562	0.09231553	-0.8122357	0.42491692	-0.41230246	-0.27649468	-0.6699096	0.17770553	0.77353823
S__IMGVR_UViG_3300038315_000065	taxon	-1.2195592	-0.65251553	0.8136964	1.4940577	-0.8959755	-0.99417645	-0.75391597	-0.1482861	-1.6916862	-0.116099626	-0.8990953	1.4830782	-0.45449966	0.90359133	1.1231042	-0.3123151	-0.13187966	-1.2344692	-1.3808357	-1.2494326	0.475744	-1.6550303	-0.005341865	-0.5734427	1.0177426	-1.6709609	-0.70932657	0.43158028	0.66954404	0.11459893	0.6417964	1.3678027
S__IMGVR_UViG_3300040811_000687	taxon	-0.30969423	-0.54551506	-0.8618891	-0.17936079	1.9450574	0.50394875	-0.9429777	0.36790997	1.0601758	1.600352	1.1827692	0.015258893	0.6709838	-1.587936	0.23961127	1.1061738	0.8636146	1.2635965	0.061927557	-0.13270257	-0.23022696	0.8156381	-1.5862968	0.28996864	-1.1797434	0.7320825	1.0528669	-0.6172109	-0.75064254	-0.46959534	-0.7631884	-0.48359117
