taxon	threshold	taxon_index	domain	phylum	class	n_samples	n_cores	total_reads	pct_damaged	has_kegg	genome_id	functional_group	display_category	ecological_role	signal_source	tea_primary	guild_tier	confidence_score	assignment_rule_id	kegg_state	group_completeness	modules_scored	module_completeness_detail	markers_detected	marker_gene_names	key_reference	doi	virus_role	mean_clr	sd_clr	mean_abs_clr	max_abs_clr	mean_abundance	prevalence_samples	prevalence_cores
S__3300025894_53	3	36	d__Bacteria	p__Bacteroidota	c__Bacteroidia	19	3	985421	100	TRUE	3300025894_53	Particle_heterotroph	Particle-attached	Pelagic_heterotroph	particle_associated	O2	Tier1_taxonomy_conserved	0.85	GTDB_PARTICLE_HET	""		""	""	""	Polysaccharide degradation	Teeling et al. 2012 Science	10.1126/science.1218344	""	0.0223316900144305	1.90660476364553	1.01057640941722	7.20266099271104	244.271028037383	0.0508021390374332	0.75
S__3300026080_15	3	37	d__Bacteria	p__Verrucomicrobiota	c__Verrucomicrobiae	16	3	623749	100	TRUE	3300026080_15	Particle_heterotroph	Particle-attached	Pelagic_heterotroph	particle_associated	O2	Tier1_taxonomy_conserved	0.85	GTDB_PARTICLE_HET	""		""	""	""	Polysaccharide degradation	Teeling et al. 2012 Science	10.1126/science.1218344	""	-0.119173609764767	1.89304649560737	1.01417715267484	6.86434288319994	145.238317757009	0.0427807486631016	0.75
S__3300026087_14	3	38	d__Bacteria	p__Marinisomatota	c__Marinisomatia	13	4	526487	100	TRUE	3300026087_14	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.206849095988634	1.70126043052323	0.926368416508438	6.97078156811888	191.014018691589	0.0347593582887701	1
S__3300026108_2	3	39	d__Bacteria	p__Chloroflexota	c__Dehalococcoidia	4	4	570512	100	TRUE	3300026108_2	Dehalococcoidia	Diagenetic	Diagenetic_acetogen	diagenetic_in_situ	CO2	Tier1_taxonomy_conserved	0.85	GTDB_ACETO_DIAG	""		""	""	""	acsB/fhs (WL pathway)	Drake et al. 2008 Ann NY Acad Sci; Ragsdale & Pierce 2008 Biochim Biophys Acta	10.1196/annals.1419.016; 10.1016/j.bbapap.2008.08.012	""	-0.576995221913919	1.31692728323506	0.826262844483087	7.39713100652201	45.7429906542056	0.0106951871657754	1
S__3300026119_12	3	40	d__Bacteria	p__Proteobacteria	c__Alphaproteobacteria	9	4	543484	100	TRUE	3300026119_12	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:0.67;W00008:0.67;W00010:1;W00011:0.75	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.38521920401179	1.79664538925153	0.985092729002048	8.10154563732205	89.7663551401869	0.0240641711229947	1
S__3300026119_8	3	41	d__Bacteria	p__Gemmatimonadota	c__Gemmatimonadetes	3	3	454666	100	TRUE	3300026119_8	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier2_kegg_partial	0.6	KEGG_CORE_HET	""		""	""	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.619391705557075	1.22877706344543	0.807432075482814	7.4496381071237	29.9485981308411	0.00802139037433155	0.75
S__3300026253_28	3	42	d__Bacteria	p__Acidobacteriota	c__UBA6911	61	4	2543907	100	TRUE	3300026253_28	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.67;W00010:0;W00011:0.38	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	1.79728460345196	3.58938921719038	2.37280747184348	10.7919296492396	2648.28504672897	0.163101604278075	1
S__3300026253_8	3	43	d__Bacteria	p__Planctomycetota	c__Planctomycetia	12	3	1109178	100	TRUE	3300026253_8	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:1;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.267672095522125	1.45538231162733	0.843680706966475	6.058694635482	119.911214953271	0.0320855614973262	0.75
S__3300026264_29	3	44	d__Bacteria	p__Marinisomatota	c__Marinisomatia	10	3	244386	100	TRUE	3300026264_29	Core_heterotrophy	Heterotrophs	Pelagic_heterotroph	pelagic_export	O2	Tier1_kegg_present	0.99	KEGG_CORE_HET	present	1	M00307;W00008;W00010;W00011	M00307:1;W00008:0.33;W00010:0;W00011:0.25	""	TCA cycle + glycolysis	Universal heterotrophic metabolism	""	""	-0.345399945480906	1.68551800025028	0.936167916690983	7.66375011003813	102.878504672897	0.0267379679144385	0.75
S__3300026264_34	3	45	d__Archaea	p__Thermoproteota	c__Nitrososphaeria	123	4	2981338	100	TRUE	3300026264_34	Nitrification_AOA	Ammonia oxidizers	Nitrifier	pelagic_export	O2	Tier1_kegg_present	0.895	KEGG_AOA_AMO	present	0.5	M00528	M00528:0.5	K10944	amoA (K10944)	Könneke et al. 2005 Nature	10.1038/nature04066	""	4.67045442484601	4.33193182537892	4.87872978016714	10.4924778467269	6542.33644859813	0.328877005347594	1
