label	core	flowcell	depth_in_core_cm	y_bp	library_concentration	temp	temp_method	mis	initial	avg_leng_initial	derep	avg_len_derep	sst	age_kyr	total_tax_abund_tad	detected_taxa_tad	total_n_reads	total_n_reads_tad	total_tax_abund_read	total_tax_abund_aln	threshold	sample	log_total_tax_abund_tad	log_total_n_reads	log_total_n_reads_tad
LV7001898088	ST13		10	6031	202.91			3.33124	117014401	60.1	89334062	61.3	6.31439442739767	6.031	1114507	105	2216239	1536495	1467831	1511562	3	LV7001898088	6.04708319021723	6.34561678901298	6.18653143398375
LV7001898076	ST13		15	6429	184.76			3.34716	115346098	55.3	78619492	56	6.25051014241062	6.429	803146	132	1669790	1021170	1218192	1247982	3	LV7001898076	5.9047950414755	6.22266211592186	6.00909847287839
LV7001898064	ST13		20	6808	117.6			3.36232	104626976	54	53467555	54.8	6.18967560972194	6.808	212890	44	697657	337670	401776	415137	3	LV7001898064	5.3281573019599	5.84364257862301	5.52849376397925
LV3003046995	ST8		35	6970.5	117	5.81821372224369	mgca_jonkers_2013	3.36882	178414482	82.8	152189789	85.2	6.16359220190688	6.9705	391166	64	422065	228673	615672	631065	3	LV3003046995	5.59236220929957	5.62538036848439	5.35921678857514
LV7008886751	GeoB25202_R1		38.5	7133.5	84.76	6.13742853745238	uk37_alkenone	3.376675	167350731	43.1	40174994	44.4	6.13742853745238	7.1335	112469	17	407085	162495	248925	259002	3	LV7008886751	5.05103669514121	5.60968616691564	5.21084267485761
LV7008886763	GeoB25202_R2		38.5	7133.5	37.96	6.13742853745238	uk37_alkenone	3.376675	153803085	44.3	35210092	46.4	6.13742853745238	7.1335	59198	10	221681	89240	126887	133096	3	LV7008886763	4.77231437060552	5.34573043096727	4.95056442817443
LV3003061546	ST13		25	7197	267.14			3.37985	57808931	62.4	41212328	62.7	6.14534613060279	7.197	212900	33	492190	266207	340233	348776	3	LV3003061546	5.32817770133246	5.69213366811105	5.42522110261743
LV3003061533	ST13		30	7912	290.8			3.4156	103171906	59.1	63404336	59.5	6.23449698261132	7.912	195725	37	521038	260124	342513	352865	3	LV3003061533	5.29164852063251	5.71687023165056	5.41518209321968
LV3003046980	ST8		40	8056	95.39	5.42145708999487	mgca_jonkers_2013	3.41776	84644758	80.9	70313255	82.7	6.25245183951933	8.056	178093	53	399413	201625	300725	307314	3	LV3003046980	5.25064928829657	5.60142328340946	5.30454653436307
LV3003061518	ST13		35	9804	303.98			3.49256	114542623	68.5	78968770	69.5	6.47040385254158	9.804	418585	111	886062	505475	658059	672538	3	LV3003061518	5.62178469886071	5.94746460177379	5.70370054011494
LV3003046952	ST8		50	10260	116.29	4.62794382549722	mgca_jonkers_2013	3.5408	88430474	83.4	60192917	86	6.52726089941695	10.26	311674	69	365358	182907	486163	494558	3	LV3003046952	5.49370196814954	5.56271980992181	5.2622327009924
LV3003046938	ST8		55	11169	92.71	4.63006993265698	mgca_jonkers_2013	3.65408	135351707	83.8	73358025	85.5	6.64060093364877	11.169	321664	78	442754	228723	513765	524097	3	LV3003046938	5.50740380838782	5.64616347434579	5.35931173750006
LV3003061506	ST13		40	11950	164.07			3.904	63589346	59.2	48096504	60.6	6.73798109507347	11.95	57678	14	291094	80355	168635	174153	3	LV3003061506	4.76101772226882	5.46403474583366	4.90501831009259
LV3003047044	ST8		60	12078	46.49	4.63219603981674	mgca_jonkers_2013	3.93092	63682406	81.2	26806847	83.3	6.75394096788059	12.078	48888	19	196935	52885	141199	145290	3	LV3003047044	4.68921115407865	5.29432511264525	4.72334072066578
LV3003047027	ST8		65	12877	149.32	5.04178088906654	mgca_jonkers_2013	4.04278	166139455	84.4	112662581	86.9	6.85356548641879	12.877	325643	78	472415	243553	514578	523624	3	LV3003047027	5.51274308069559	5.67432459807365	5.38659526658552
LV3003047010	ST8		70	13676	131.81	5.45136573831635	mgca_jonkers_2013	4.20872	124044083	83.1	98890535	85.9	6.95319000495699	13.676	198657	61	437825	212648	349458	358531	3	LV3003047010	5.29810605887488	5.64130154828091	5.32766334474812
LV3003061492	ST13		45	14437	376.09			4.37177	119240881	67.3	80494467	68	7.04807643625558	14.437	897569	176	1593384	1076728	1247256	1271160	3	LV3003061492	5.95306832847961	6.20232072443499	6.03210641024838
LV3003046994	ST8		79.5	15549	87.72	4.99039754502124	mgca_jonkers_2013	4.63274	71148178	57.2	33076881	57.9	7.18672783126745	15.549	134615	17	439438	215710	254655	266406	3	LV3003046994	5.12909668172112	5.64289859772144	5.33387229214702
LV7008886727	GeoB25202_R1		59.5	16437.5	79.12	7.29751179212	uk37_alkenone	4.806875	181407355	47.9	57424152	48.6	7.29751179212	16.4375	251232	66	809965	333218	548636	562606	3	LV7008886727	5.4000766843351	5.90846678885112	5.52272975672005
LV7008886739	GeoB25202_R2		59.5	16437.5	82.56	7.29751179212	uk37_alkenone	4.806875	201287627	49.7	67761404	50.8	7.29751179212	16.4375	493601	103	1203912	615926	886476	907926	3	LV7008886739	5.69337691072374	6.08059510404382	5.78952924239842
LV3003046979	ST8		84.5	16461	131.92	4.74778270644487	mgca_jonkers_2013	4.80993	62932113	71.5	35885630	73.7	7.29869936048704	16.461	150675	43	380056	158473	301288	311172	3	LV3003046979	5.17804408245646	5.57984873590377	5.19995801997484
LV3003061477	ST13		50	16726	301.74			4.84438	125495327	67.8	84929726	70.8	7.31209108888136	16.726	880237	165	1659377	1131068	1230985	1254480	3	LV3003061477	5.94460011318635	6.21994532792602	6.05348909953659
LV3003046966	ST8		89.5	17373	104.95	4.50516786786849	mgca_jonkers_2013	4.93222	64053262	73.4	33174625	75	7.34478712009314	17.373	178621	54	487517	216449	338075	348668	3	LV3003046966	5.25193494777867	5.68799065522709	5.33535759014918
LV3003046950	ST8		94.5	18099	104.24	2.39521562696755	mgca_jonkers_2013	5.01406	54550611	72.2	30319286	73.7	7.38147540241116	18.099	217455	68	535809	239990	408658	418290	3	LV3003046950	5.33737139512825	5.72901081473	5.38019495536316
LV3003046937	ST8		99.5	18598	100.16	2.93302273038462	mgca_jonkers_2013	4.98412	37032447	66.6	19341245	67.9	7.40669227965178	18.598	106977	26	410966	156696	251032	258201	3	LV3003046937	5.02929447431163	5.61380695011623	5.19506068188073
LV3003047041	ST8		104.5	19097	105.88	3.47082983380169	mgca_jonkers_2013	4.96291	92918951	73.6	51583899	75.3	7.4319091568924	19.097	471440	102	1102355	629791	753430	772142	3	LV3003047041	5.6734273492945	6.04232187025789	5.79919713966362
LV3003061572	ST13		55	19099	341.81			4.96297	148847098	75.5	75948836	100.4	7.43201022654066	19.099	719061	161	1315022	860396	1025010	1045094	3	LV3003061572	5.85676633836203	6.11893334878451	5.93469888743635
LV3003047026	ST8		109.5	19565	12.35	2.88473711426933	mgca_jonkers_2013	4.97695	948154669	61.9	126124116	64.1	7.455559454585	19.565	714831	116	1146256	616098	1175314	1210280	3	LV3003047026	5.85420398579269	6.05928200085002	5.78965050388376
LV3003047009	ST8		114.5	20142	99.94	3.12499528201102	mgca_jonkers_2013	4.97864	78281501	64.3	50491740	64.7	7.48471804810772	20.142	238549	51	475282	236076	414170	429385	3	LV3003047009	5.37757942089495	5.67695228065657	5.37305367763506
LV3003046993	ST8		119.5	20719	108.7	3.36525344975272	mgca_jonkers_2013	4.93248	230108757	68.3	100382437	69.6	7.51387664163044	20.719	584604	127	700808	342957	951719	975170	3	LV3003046993	5.76686252546398	5.84559967053622	5.5352409378705
LV3003061559	ST13		60	21069	362.3			4.90793	96182866	67.5	57351399	75.1	7.53156383007576	21.069	140462	39	477595	182540	308559	318560	3	LV3003061559	5.1475619398138	5.67906068079886	5.26136042536194
LV3003046978	ST8		124.5	21296	113.8	3.60551161749441	mgca_jonkers_2013	4.90112	72686612	55.3	49044465	56.1	7.54303523515316	21.296	375780	74	988291	499977	654070	677227	3	LV3003046978	5.57493481779815	5.99488527986363	5.69895089495841
LV3003046965	ST8		129.5	21832.3333333333	73.24	3.13112604739667	mgca_jonkers_2013	4.88503	123105827	60	61272397	60.7	7.57013874582794	21.8323333333333	732681	150	1410110	871392	1109778	1137712	3	LV3003046965	5.8649155222382	6.14925330044977	5.94021406687632
LV3003046949	ST8		134.5	22368.6666666667	140.56	2.65674047729892	mgca_jonkers_2013	4.87262666666667	61245129	56.4	37969700	57.8	7.59724225650273	22.3686666666667	366071	74	939565	535446	597171	614541	3	LV3003046949	5.56356651197212	5.97292729261009	5.72871648964654
LV3003046936	ST8		139.5	22905	189.42	2.18235490720117	mgca_jonkers_2013	4.8619	152063717	62.8	56886217	63.9	7.62434576717752	22.905	663263	127	1278547	765545	999878	1034963	3	LV3003046936	5.82168642572346	6.10671703720695	5.88397129163252
LV3003061545	ST13		65	23172	284.94			4.8514	110691172	77.3	54077025	90.3	7.63783856522009	23.172	211303	59	588238	282411	385770	395554	3	LV3003061545	5.32490771835608	5.76955381466834	5.45088314642743
LV3003047145	ST8		144.5	23446	279.12	3.07806968232358	mgca_jonkers_2013	4.8377	33473724	69.7	25529607	71.1	7.65168510703157	23.446	154757	43	454651	190119	311521	321764	3	LV3003047145	5.18965310852287	5.65767910587542	5.27902780562272
LV3003047132	ST8		149.5	23987	252.49	3.97378445744599	mgca_jonkers_2013	4.81065	102185528	63	55519062	64.2	7.67902444688563	23.987	864385	166	1650643	1097828	1246470	1273273	3	LV3003047132	5.93670772423158	6.2176534175954	6.04053469882092
LV3003047118	ST8		154.5	24528	236.52	4.86949923256839	mgca_jonkers_2013	4.81528	91417437	63.5	42464543	65.7	7.70636378673969	24.528	391962	87	940644	530783	652571	668697	3	LV3003047118	5.59324507300456	5.97342575134415	5.72491782297831
LV3003047099	ST8		159.5	25058	89.55	4.2375054250314	mgca_jonkers_2013	4.8113	28885458	59.3	17167551	60.8	7.73314724352832	25.058	82528	25	341103	108095	208351	215710	3	LV3003047099	4.91660658281548	5.53288681224745	5.0338096235549
LV3003047071	ST8		169.5	26141	140.62	4.12720539382505	mgca_jonkers_2013	4.68128	68001919	56.3	20785023	59.2	7.78787645806057	26.141	47492	15	284429	60382	176603	183989	3	LV3003047071	4.67662960361645	5.45397540129588	4.78091468621407
LV3003047169	ST8		174.5	26670.3333333333	195.44	4.12763158267034	mgca_jonkers_2013	4.72362666666667	78793387	55.3	25386659	57.5	7.81462622496645	26.6703333333333	83447	24	355469	90540	233882	242675	3	LV3003047169	4.92141593239486	5.55080295419595	4.9568452868467
LV3003047156	ST8		179.5	27199.6666666667	175.93	4.12805777151563	mgca_jonkers_2013	4.75	57674275	59.1	20077855	61	7.84137599187233	27.1996666666667	84364	30	329786	81593	233863	241640	3	LV3003047156	4.92616231085006	5.51823353202548	4.91165822416199
LV7008886703	GeoB25202_R1		84.5	27685.5	41.04	7.86592749392857	uk37_alkenone	4.75	139576170	55.3	32441759	57.3	7.86592749392857	27.6855	95155	24	424710	130902	267053	285509	3	LV7008886703	4.97843617764393	5.62809350934819	5.11694959970978
LV7008886715	GeoB25202_R2		84.5	27685.5	77.28	7.86592749392857	uk37_alkenone	4.75	163412376	53.6	44513031	55.5	7.86592749392857	27.6855	168064	31	591786	248485	364957	376676	3	LV7008886715	5.22547727983144	5.77216542062476	5.39530192508535
LV3003047144	ST8		184.5	27729	145.85	4.12848396036092	mgca_jonkers_2013	4.75	92057786	60.2	26538281	62.3	7.87282431997209	27.729	106913	38	419722	126603	282081	292308	3	LV3003047144	5.02903457821761	5.6229627683523	5.10244742724915
LV3003047131	ST8		189.5	28245.3333333333	102.07	3.79878121129077	mgca_jonkers_2013	4.74509333333333	52927950	62	18465157	64.2	7.95468779538517	28.2453333333333	38925	12	250370	47758	154534	160603	3	LV3003047131	4.59023977830897	5.39858402394196	4.67905522475807
LV3003061531	ST13		76	28445	99.27	6.67825064126309	mgca_jonkers_2013	4.7411	92367510	61.2	35673132	62.1	7.98634449117112	28.445	233268	50	712267	320838	467693	479748	3	LV3003061531	5.36785702759151	5.85264343327395	5.50628715404892
LV3003047117	ST8		194.5	28761.6666666667	158.61	3.46907846222062	mgca_jonkers_2013	4.73476666666667	120673383	62.4	16047191	66.1	8.03655127079825	28.7616666666667	22279	9	205322	25557	127242	132210	3	LV3003047117	4.34791518650169	5.31243760116601	4.40752686580295
LV3003047098	ST8		199.5	29278	110.66	3.13937571315047	mgca_jonkers_2013	4.69942	78560973	57.5	14314578	59.5	8.11841474621133	29.278	22978	7	172298	29657	98828	103188	3	LV3003047098	4.36133112513853	5.23628275686914	4.47214186084442
LV3003047085	ST8		204.5	29703	130.79	3.1118182170815	mgca_jonkers_2013	4.65267	72934268	58.5	23719130	60.7	8.18579752939511	29.703	56369	19	280071	79675	163993	169442	3	LV3003047085	4.75104803482019	5.44726969271029	4.90132752293656
LV3003047070	ST8		209.5	30128	151.38	3.08426072101253	mgca_jonkers_2013	4.62	68056678	53.6	17883228	56.6	8.25318031257889	30.128	35972	11	210731	44325	128214	133320	3	LV3003047070	4.55597665769943	5.32373048894552	4.64665854212029
LV3003047168	ST8		214.5	30497	193.15	3.05670322494356	mgca_jonkers_2013	4.62	56419893	53.7	23672441	55.4	8.31168442315493	30.497	68126	22	310025	90968	186300	192712	3	LV3003047168	4.83331926502729	5.49139811700535	4.95889342064384
LV3003061517	ST13		81	30678	343.69	6.45738016350526	mgca_jonkers_2013	4.62	166832578	74.7	79298875	86	8.34038156140496	30.678	307349	80	742975	385280	537228	550933	3	LV3003061517	5.48763321745688	5.87097478517927	5.58577759245807
LV3003047155	ST8		219.5	30947.5	72.49	3.59259359265224	mgca_jonkers_2013	4.62	58779708	51.8	15672586	53.7	8.38311017332974	30.9475	34433	10	185790	44331	110124	114352	3	LV3003047155	4.5369874751306	5.26902467227869	4.64671732456283
LV3003047143	ST8		224.5	31398	133.26	4.12848396036092	mgca_jonkers_2013	4.61204	135126726	57.5	24111588	60.5	8.45453592350455	31.398	57754	18	277854	74144	180801	187401	3	LV3003047143	4.76158958819036	5.44381821631978	4.87008186951646
LV3003047130	ST8		229.5	31936	108.94	4.9756968195377	mgca_jonkers_2013	4.60128	43901456	63.3	16307041	66.4	8.53983459962896	31.936	23292	9	166928	25518	109585	114509	3	LV3003047130	4.36722542668583	5.22253179171765	4.40686365190684
LV3003047114	ST8		234.5	32385.5	41.03	4.80182032251746	mgca_jonkers_2013	4.59229	21045484	64.8	12594552	66.9	8.61110180207863	32.3855	25226	11	157011	27701	108519	112428	3	LV3003047114	4.40186560719961	5.19593284562341	4.44251112493479
LV3003061505	ST13		86	32810	188.85	6.23650968574743	mgca_jonkers_2013	4.5838	82717700	80.4	45809256	89.7	8.67840531139984	32.81	118902	30	348498	136483	244497	254813	3	LV3003061505	5.07519281228908	5.54220153625008	5.13508174208012
LV3003047097	ST8		239.5	32835	93.56	4.62794382549722	mgca_jonkers_2013	4.5833	84081411	56.6	17377814	59.5	8.6823690045283	32.835	33146	13	228146	40831	148923	155663	3	LV3003047097	4.52044422829424	5.35821476242706	4.61100065270505
LV3003047084	ST8		244.5	33276	4.13	6.53096294335688	mgca_jonkers_2013	4.58276	390411795	56.1	31074859	58.4	8.75228855131429	33.276	80543	28	374363	81304	280190	289640	3	LV3003047084	4.90603319386827	5.57329407897349	4.91011725415051
LV3003047069	ST8		249.5	33743.6870748299	233.37	6.20212176047846	mgca_jonkers_2013	4.5874368707483	66820935	59	22512581	61.8	8.82643927310517	33.7436870748299	28052	11	196612	29568	125718	129619	3	LV3003047069	4.44797931171617	5.29361222988274	4.47083663728143
LV3003047167	ST8		259.5	34678.12	171.35	5.57495241758692	mgca_jonkers_2013	4.556094	55257624	57.2	14241098	59.7	8.97459148768522	34.67812	13495	6	139251	17503	84499	88555	3	LV3003047167	4.13020506958107	5.14380144142369	4.24313730465334
LV3003061488	ST13		91	35041	245.05	6.0156392079896	mgca_jonkers_2013	4.53631	127243231	79.7	66338584	85.6	9.03212528618341	35.041	264194	74	657312	337368	458884	469493	3	LV3003061488	5.42192459415301	5.81777222161923	5.52810517384449
LV3003047154	ST8		264.5	35130.12	109.23	5.75466161579687	mgca_jonkers_2013	4.5282892	24559061	57.6	12574749	58.9	9.04625505944773	35.13012	21545	9	164997	24604	97123	100166	3	LV3003047154	4.33336665550972	5.21747868000646	4.3910233693701
LV3003047142	ST8		269.5	35582.3	78.67	5.88471892901571	mgca_jonkers_2013	4.487593	67334598	64.9	15239544	67.1	9.11794716980078	35.5823	12626	6	128012	12838	80753	83678	3	LV3003047142	4.10130018046768	5.10725407544148	4.10853119885787
LV3003047129	ST8		274.5	36037.3	75.83	5.23689671070721	mgca_jonkers_2013	4.450373	33964594	62.9	16307844	64.1	9.19008638473871	36.0373	47115	17	231293	56577	149898	155487	3	LV3003047129	4.67316841311041	5.36416436687918	4.75264759133031
LV3003047113	ST8		279.5	36489.27	109.94	4.62053611323564	mgca_jonkers_2013	4.4548927	73296885	60.2	24562830	62.8	9.26174520006947	36.48927	101046	22	386416	120137	255000	263668	3	LV3003047113	5.00452342420673	5.58705622448203	5.07968039774457
LV7008886226	GeoB25202_R2		105.5	36607	46.28	9.28041102375	uk37_alkenone	4.45607	193464268	41.2	26190630	42.8	9.28041102375	36.607	123720	16	501953	186050	294244	318039	3	LV7008886226	5.0924434216183	5.70066391941289	5.26963200864035
LV7008886776	GeoB25202_R1		105.5	36607	70.05	9.28041102375	uk37_alkenone	4.45607	152962664	56	41404251	58.3	9.28041102375	36.607	191963	51	577796	222116	417620	429285	3	LV7008886776	5.28321979085316	5.76177528259847	5.3465817990872
LV3003047096	ST8		284.5	36893.77	135.25	4.49707424220948	mgca_jonkers_2013	4.4589377	56084885	55.6	20029588	57.5	9.23725876185055	36.89377	125784	23	440266	181883	270110	279695	3	LV3003047096	5.09962885410099	5.64371613434664	5.25979449665923
LV3003061476	ST13		96	37160	137.29	5.79476873023177	mgca_jonkers_2013	4.452	84098583	70.2	34228366	72.2	9.19719729556924	37.16	130477	39	383717	137020	300305	306546	3	LV3003061476	5.11553729110686	5.58401217219107	5.1367871327418
LV3003047083	ST8		289.5	37303.19	129.5	4.36334977083705	mgca_jonkers_2013	4.4448405	66017005	60.6	17923283	63	9.1756505076159	37.30319	33584	12	201538	37524	128191	132914	3	LV3003047083	4.52614535263471	5.30435909934013	4.57432070091531
LV3003047068	ST8		294.5	37789.69	99.85	4.0688445607065	mgca_jonkers_2013	4.4205155	45243801	64.9	16258007	69	9.10244349358346	37.78969	46444	15	230816	58717	147004	151417	3	LV3003047068	4.66693896721471	5.36326779206732	4.76877125460971
LV3003047166	ST8		299.5	38273.43	109.28	3.82073071156393	mgca_jonkers_2013	4.4482802	47667591	67.1	14626855	69.9	9.0296517958074	38.27343	54130	16	268297	66794	181020	188521	3	LV3003047166	4.73344605019231	5.42861743528021	4.8247439541869
LV3003047153	ST8		304.5	38713.93	119.12	4.29941485123281	mgca_jonkers_2013	4.5099502	61725484	65.2	21806731	67.7	8.96336671938132	38.71393	71805	19	300777	87216	200882	208492	3	LV3003047153	4.85616073474399	5.4782460671988	4.94060114418271
LV3003047141	ST8		309.5	39153.47	61.93	4.70233543022987	mgca_jonkers_2013	4.55	956051	61.3	849760	61.8	8.89722610078355	39.15347	0	0	6700	0	3529	3727	3	LV3003047141	0	3.82613961793592	0
LV3003047128	ST8		314.5	39577.97	73.06	3.9182935587019	mgca_jonkers_2013	4.55	61094930	57.4	16749573	59.4	8.83334865482924	39.57797	106078	19	280042	69695	223162	238485	3	LV3003047128	5.02562941701348	5.44722472144551	4.84320785373966
LV3003047112	ST8		319.5	40033.5	82.07	3.21978661089373	mgca_jonkers_2013	4.54866	36464277	69.6	15715775	72.5	8.76480191052874	40.0335	47715	19	237914	59066	156194	160848	3	LV3003047112	4.67866402991157	5.37642182418046	4.77134491369625
LV3003061571	ST13		101	40457	159.84	6.07677656849543	mgca_jonkers_2013	4.53172	90191213	63	44685952	68.8	8.70107494147892	40.457	161423	22	507098	254181	295754	305157	3	LV3003061571	5.20796810469022	5.70509275411934	5.40514479256944
LV3003047095	ST8		324.5	40975.1666666667	76.96	3.86132680136238	mgca_jonkers_2013	4.51099333333333	55822169	58.7	15927657	60.6	8.62310282547109	40.9751666666667	56180	10	259483	83257	157281	161459	3	LV3003047095	4.74958946520762	5.41411058404984	4.92042597417752
LV3003047082	ST8		329.5	41916.8333333333	61.65	4.50286699183103	mgca_jonkers_2013	4.50083166666667	37053519	59.3	19269518	60.4	8.48140374041344	41.9168333333333	22729	8	160845	31224	92922	96675	3	LV3003047082	4.35659943572497	5.20641026511658	4.49450244704617
LV3003061558	ST13		106	42626	207.2	6.3587844067591	mgca_jonkers_2013	4.47496	75419217	85.6	38072076	102.9	8.37469053564879	42.626	171974	54	431614	200175	313745	321168	3	LV3003061558	5.23546531812164	5.6350965293937	5.30141200674782
LV3003047067	ST8		334.5	42866.02	178.82	5.07611814185932	mgca_jonkers_2013	4.4653592	83694347	60.2	30143452	61.8	8.33857306903406	42.86602	41084	14	261022	57313	157814	161890	3	LV3003047067	4.61368329130964	5.41667877681334	4.75826071935125
LV7008886740	GeoB25202_R1		119.5	43105	37.22	8.3026120984	uk37_alkenone	4.4621	126565168	46	28164282	47.8	8.3026120984	43.105	52156	12	294578	65279	187796	193851	3	LV7008886740	4.71731260341184	5.46920178354805	4.81478014574581
LV7008886752	GeoB25202_R2		119.5	43105	26.14	8.3026120984	uk37_alkenone	4.4621	223261934	57.3	26874573	61.2	8.3026120984	43.105	93431	18	334757	115263	222076	234136	3	LV7008886752	4.97049564542977	5.52473096451703	5.06169368680342
LV3003047164	ST8		339.5	43933.02	61.8	4.579507658322	mgca_jonkers_2013	4.4786604	45835273	73.5	20978998	75.5	8.37946113303367	43.93302	24631	13	142626	26717	89689	93393	3	LV3003047164	4.39149967589514	5.1542017474026	4.42680394551487
LV3003047152	ST8		344.5	45000.02	114.81	4.08289717478468	mgca_jonkers_2013	4.3300006	86684643	67.2	27393512	69.9	8.47849004532337	45.00002	38530	16	202175	38310	138279	142926	3	LV3003047152	4.58581028045983	5.30572959988904	4.58332348815676
LV3003061544	ST13		111	45122	154.76	6.64079224502277	mgca_jonkers_2013	4.33366	98492472	76.2	36658491	81.2	8.48981108255027	45.122	71230	30	273720	78183	199061	204510	3	LV3003061544	4.85266904137438	5.43730811795911	4.89311788576224
LV3003047140	ST8		349.5	46094.8	83.7	3.6236552712401	mgca_jonkers_2013	4.361896	2441785	64.6	2055101	65.5	8.58009723613548	46.0948	1235	1	26331	106	16782	17272	3	LV3003047140	3.0920184707528	4.42048384642004	2.02938377768521
LV3003061530	ST13		116	47046	117.63	6.92280008328644	mgca_jonkers_2013	4.38322	92176900	82.1	44841877	91.8	8.66837868071839	47.046	176499	19	548223	292465	306865	316138	3	LV3003061530	5.24674470972384	5.73895804404444	5.46607538539035
LV3003047127	ST8		354.5	47624.8	56.2	3.74985445424827	mgca_jonkers_2013	4.423736	50491529	60.3	11382703	63	8.72209745713196	47.6248	5817	2	76983	7454	44301	46134	3	LV3003047127	3.76477371691104	4.88640047278606	3.87244764778901
LV3003061516	ST13		121	48537	61.03	7.2048079215501	mgca_jonkers_2013	4.45537	54250107	75.6	26855001	76.7	8.80675928823849	48.537	108916	28	354377	150321	227821	234032	3	LV3003061516	5.03709567066473	5.54946675278846	5.17702254532015
LV3003047110	ST8		359.5	49154.8	66.07	3.87605363725645	mgca_jonkers_2013	4.441424	47425083	62.5	15940375	65.4	8.86409767812845	49.1548	18402	8	137559	22844	85374	89387	3	LV3003047110	4.26488862612062	5.13849216714998	4.35879116239172
LV3003061504	ST13		126	50268	187.42	7.48681575981377	mgca_jonkers_2013	4.33732	96239561	74.4	42611651	77.1	8.96741444022863	50.268	93765	28	306770	115100	208202	213654	3	LV3003061504	4.97204538966718	5.48681430203295	5.06107909680612
LV7008886221	GeoB25202_R1		129.5	50355.5	94.36	8.9755353679	uk37_alkenone	4.336445	97977738	44.9	30262882	47	8.9755353679	50.3555	92806	13	356634	142734	209134	220497	3	LV7008886221	4.96758073426543	5.55222396239785	5.15453047937311
LV7008886728	GeoB25202_R2		129.5	50355.5	42.73	8.9755353679	uk37_alkenone	4.336445	152247351	58.3	27749284	61.8	8.9755353679	50.3555	85770	14	314207	112652	202732	209310	3	LV7008886728	4.93334047352583	5.49721723834757	5.05174276167101
LV3003047094	ST8		364.5	50684.8	129.24	4.00225282026463	mgca_jonkers_2013	4.333152	80270443	61.2	21674703	64.2	8.71916462667657	50.6848	71371	18	253313	84734	179432	184839	3	LV3003047094	4.85352786681149	5.40365919277013	4.92806283379201
LV3003061486	ST13		131	52105	128.79	7.76882359807744	mgca_jonkers_2013	4.32365	27685092	68.7	20117935	70.3	7.61349281773178	52.105	43529	12	166240	63216	104064	113926	3	LV3003061486	4.6387886671574	5.22073814266002	4.80083388229192
LV3003047081	ST8		369.5	52207.18	90.06	4.12845200327281	mgca_jonkers_2013	4.3369334	57423869	57.2	15919889	58.8	7.53394237030326	52.20718	39995	12	194006	28387	153636	158802	3	LV3003047081	4.60201655970816	5.28781740006697	4.45313479655685
