taxon	threshold	method	module_kmeans	embedding_1	embedding_2	pca_1	pca_2	module_entropy_proxy	module_count	silhouette
S__IMGVR_UViG_3300025860_000061	prev_10	bicor	M2	2.0082598	-3.972879	-1.6405874	-1.0902596	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300025869_000017	prev_10	bicor	M2	2.1459951	-3.917645	-1.2669985	-1.1534728	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300027687_000007	prev_10	bicor	M2	2.168008	-3.9455276	-1.07317	-1.2221916	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300027780_000015	prev_10	bicor	M2	2.1905346	-3.9293432	-1.1399381	-1.1640927	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300027813_000042	prev_10	bicor	M2	1.9857867	-3.8365097	-1.7987756	-1.1138201	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300027833_000016	prev_10	bicor	M2	2.320685	-3.9296908	-0.71654063	-1.1019636	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300027833_000046	prev_10	bicor	M2	2.0090375	-3.8288608	-1.8067888	-1.0871726	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300027861_000023	prev_10	bicor	M2	2.1077404	-3.873786	-1.592551	-0.94335926	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300028198_000003	prev_10	bicor	M2	2.1260712	-3.8137932	-1.4841461	-1.0028068	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300028535_000001	prev_10	bicor	M2	2.1589212	-3.9399352	-0.94283485	-1.1926448	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300031519_000018	prev_10	bicor	M2	2.032386	-3.8810105	-1.5623872	-1.1551746	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300031687_001020	prev_10	bicor	M2	2.140821	-4.0245104	-1.146298	-1.1017073	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300031688_001339	prev_10	bicor	M2	2.1797867	-3.989935	-1.1973913	-1.0345815	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300035195_000275	prev_10	bicor	M2	1.9771922	-3.8432498	-1.7866834	-1.1216701	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300037585_000783	prev_10	bicor	M2	2.078603	-3.8855653	-1.6758691	-0.96237195	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300038315_000065	prev_10	bicor	M2	2.0327938	-3.852821	-1.723159	-1.0937963	0.0	3	0.5429225564002991
S__IMGVR_UViG_3300046168_000044	prev_10	bicor	M2	2.2466311	-3.7650123	-1.410544	-0.8816292	0.0	3	0.5429225564002991
